Data,NECERSOA23006
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,0.0
2020-04-07,0.0
2020-04-08,0.0
2020-04-09,0.0
2020-04-10,0.0
2020-04-11,0.0
2020-04-12,0.0
2020-04-13,0.0
2020-04-14,0.0
2020-04-15,0.0
2020-04-16,0.0
2020-04-17,0.0
2020-04-18,0.0
2020-04-19,0.0
2020-04-20,0.0
2020-04-21,0.0
2020-04-22,0.0
2020-04-23,0.0
2020-04-24,1.0
2020-04-25,2.0
2020-04-26,4.0
2020-04-27,3.0
2020-04-28,3.0
2020-04-29,4.0
2020-04-30,5.0
2020-05-01,7.0
2020-05-02,9.0
2020-05-03,9.0
2020-05-04,11.0
2020-05-05,11.0
2020-05-06,12.0
2020-05-07,13.0
2020-05-08,16.0
2020-05-09,24.0
2020-05-10,29.0
2020-05-11,35.0
2020-05-12,37.0
2020-05-13,40.0
2020-05-14,40.0
2020-05-15,45.0
2020-05-16,52.0
2020-05-17,52.0
2020-05-18,56.0
2020-05-19,62.0
2020-05-20,64.0
2020-05-21,74.0
2020-05-22,76.0
2020-05-23,79.0
2020-05-24,79.0
2020-05-25,91.0
2020-05-26,93.0
2020-05-27,97.0
2020-05-28,97.0
2020-05-29,102.0
2020-05-30,105.0
2020-05-31,106.0
2020-06-01,108.0
2020-06-02,112.0
2020-06-03,113.0
2020-06-04,124.0
2020-06-05,127.0
2020-06-06,130.0
2020-06-07,130.0
2020-06-08,135.0
2020-06-09,140.0
2020-06-10,141.0
2020-06-11,147.0
2020-06-12,153.0
2020-06-13,154.0
2020-06-14,156.0
2020-06-15,157.0
2020-06-16,157.0
2020-06-17,161.0
2020-06-18,163.0
2020-06-19,163.0
2020-06-20,166.0
2020-06-21,166.0
2020-06-22,166.0
2020-06-23,172.0
2020-06-24,174.0
2020-06-25,174.0
2020-06-26,175.0
2020-06-27,175.0
2020-06-28,175.0
2020-06-29,177.0
2020-06-30,180.0
2020-07-01,180.0
2020-07-02,185.0
2020-07-03,186.0
2020-07-04,192.0
2020-07-05,192.0
2020-07-06,193.0
2020-07-07,196.0
2020-07-08,196.0
2020-07-09,196.0
2020-07-10,199.0
2020-07-11,203.0
