Data,ONBiA_An
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,1
2020-03-30,0
2020-03-31,1
2020-04-01,0
2020-04-02,1
2020-04-03,2
2020-04-04,2
2020-04-05,2
2020-04-06,1
2020-04-07,2
2020-04-08,3
2020-04-09,4
2020-04-10,0
2020-04-11,2
2020-04-12,0
2020-04-13,1
2020-04-14,0
2020-04-15,5
2020-04-16,3
2020-04-17,6
2020-04-18,1
2020-04-19,8
2020-04-20,1
2020-04-21,1
2020-04-22,3
2020-04-23,9
2020-04-24,5
2020-04-25,6
2020-04-26,3
2020-04-27,3
2020-04-28,10
2020-04-29,10
2020-04-30,8
2020-05-01,13
2020-05-02,6
2020-05-03,0
2020-05-04,18
2020-05-05,5
2020-05-06,14
2020-05-07,5
2020-05-08,18
2020-05-09,13
2020-05-10,6
2020-05-11,9
2020-05-12,14
2020-05-13,11
2020-05-14,26
2020-05-15,19
2020-05-16,5
2020-05-17,9
2020-05-18,17
2020-05-19,14
2020-05-20,36
2020-05-21,14
2020-05-22,23
2020-05-23,14
2020-05-24,47
2020-05-25,17
2020-05-26,18
2020-05-27,36
2020-05-28,39
2020-05-29,39
2020-05-30,29
2020-05-31,29
2020-06-01,34
