Data,SURSRSOA43025
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,0.0
2020-04-07,0.0
2020-04-08,0.0
2020-04-09,0.0
2020-04-10,0.0
2020-04-11,0.0
2020-04-12,0.0
2020-04-13,0.0
2020-04-14,0.0
2020-04-15,0.0
2020-04-16,0.0
2020-04-17,0.0
2020-04-18,0.0
2020-04-19,0.0
2020-04-20,0.0
2020-04-21,0.0
2020-04-22,0.0
2020-04-23,0.0
2020-04-24,0.0
2020-04-25,1.0
2020-04-26,1.0
2020-04-27,1.0
2020-04-28,1.0
2020-04-29,2.0
2020-04-30,2.0
2020-05-01,4.0
2020-05-02,4.0
2020-05-03,4.0
2020-05-04,6.0
2020-05-05,7.0
2020-05-06,10.0
2020-05-07,10.0
2020-05-08,10.0
2020-05-09,10.0
2020-05-10,10.0
2020-05-11,13.0
2020-05-12,12.0
2020-05-13,12.0
2020-05-14,12.0
2020-05-15,13.0
2020-05-16,13.0
2020-05-17,13.0
2020-05-18,13.0
2020-05-19,13.0
2020-05-20,13.0
2020-05-21,14.0
2020-05-22,16.0
2020-05-23,17.0
2020-05-24,17.0
2020-05-25,19.0
2020-05-26,19.0
2020-05-27,21.0
2020-05-28,21.0
2020-05-29,21.0
2020-05-30,21.0
2020-05-31,24.0
2020-06-01,25.0
2020-06-02,25.0
2020-06-03,27.0
2020-06-04,28.0
2020-06-05,30.0
2020-06-06,31.0
2020-06-07,31.0
2020-06-08,32.0
2020-06-09,35.0
2020-06-10,37.0
2020-06-11,37.0
2020-06-12,37.0
2020-06-13,37.0
2020-06-14,37.0
2020-06-15,38.0
2020-06-16,39.0
2020-06-17,39.0
2020-06-18,39.0
2020-06-19,39.0
2020-06-20,38.0
2020-06-21,38.0
2020-06-22,42.0
2020-06-23,42.0
2020-06-24,45.0
2020-06-25,45.0
2020-06-26,47.0
2020-06-27,48.0
2020-06-28,48.0
2020-06-29,49.0
2020-06-30,49.0
2020-07-01,49.0
2020-07-02,51.0
2020-07-03,52.0
2020-07-04,52.0
2020-07-05,52.0
2020-07-06,55.0
2020-07-07,56.0
2020-07-08,56.0
2020-07-09,58.0
2020-07-10,60.0
2020-07-11,60.0
2020-07-12,61.0
2020-07-13,62.0
2020-07-14,67.0
2020-07-15,69.0
2020-07-16,69.0
2020-07-17,70.0
2020-07-18,73.0
2020-07-19,75.0
2020-07-20,75.0
2020-07-21,77.0
2020-07-22,82.0
2020-07-23,84.0
2020-07-24,84.0
2020-07-25,88.0
2020-07-26,88.0
2020-07-27,90.0
2020-07-28,92.0
2020-07-29,94.0
2020-07-30,101.0
2020-07-31,103.0
2020-08-01,106.0
2020-08-02,106.0
2020-08-03,109.0
2020-08-04,112.0
2020-08-05,116.0
2020-08-06,118.0
2020-08-07,118.0
2020-08-08,119.0
2020-08-09,120.0
2020-08-10,126.0
2020-08-11,127.0
2020-08-12,130.0
2020-08-13,133.0
2020-08-14,133.0
2020-08-15,133.0
2020-08-16,133.0
2020-08-17,138.0
2020-08-18,142.0
2020-08-19,145.0
