Data,OASiE_An
2020-03-15,0.0
2020-03-16,0.0
2020-03-17,0.0
2020-03-18,0.0
2020-03-19,0.0
2020-03-20,0.0
2020-03-21,0.0
2020-03-22,0.0
2020-03-23,0.0
2020-03-24,0.0
2020-03-25,0.0
2020-03-26,0.0
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,4.0
2020-04-03,4.0
2020-04-04,4.0
2020-04-05,6.0
2020-04-06,8.0
2020-04-07,8.0
2020-04-08,8.0
2020-04-09,8.0
2020-04-10,8.0
2020-04-11,8.0
2020-04-12,8.0
2020-04-13,8.0
2020-04-14,8.0
2020-04-15,8.0
2020-04-16,8.0
2020-04-17,8.0
2020-04-18,10.0
2020-04-19,10.0
2020-04-20,10.0
2020-04-21,10.0
2020-04-22,14.0
2020-04-23,16.0
2020-04-24,16.0
2020-04-25,18.0
2020-04-26,18.0
2020-04-27,20.0
2020-04-28,22.0
2020-04-29,24.0
2020-04-30,24.0
2020-05-01,28.0
2020-05-02,28.0
2020-05-03,28.0
2020-05-04,34.0
2020-05-05,42.0
2020-05-06,46.0
2020-05-07,50.0
2020-05-08,56.0
2020-05-09,66.0
2020-05-10,68.0
2020-05-11,74.0
2020-05-12,74.0
2020-05-13,84.0
2020-05-14,94.0
2020-05-15,100.0
2020-05-16,106.0
2020-05-17,114.0
2020-05-18,118.0
2020-05-19,126.0
2020-05-20,138.0
2020-05-21,76.0
2020-05-22,82.0
2020-05-23,86.0
2020-05-24,186.0
