Data,COMTRSCA51002
2020-03-27,0.0
2020-03-28,12.0
2020-03-29,12.0
2020-03-30,14.0
2020-03-31,20.0
2020-04-01,21.0
2020-04-02,25.0
2020-04-03,29.0
2020-04-04,39.0
2020-04-05,42.0
2020-04-06,49.0
2020-04-07,50.0
2020-04-08,57.0
2020-04-09,65.0
2020-04-10,67.0
2020-04-11,71.0
2020-04-12,71.0
2020-04-13,79.0
2020-04-14,82.0
2020-04-15,88.0
2020-04-16,92.0
2020-04-17,97.0
2020-04-18,101.0
2020-04-19,103.0
2020-04-20,107.0
2020-04-21,107.0
2020-04-22,108.0
2020-04-23,122.0
2020-04-24,131.0
2020-04-25,137.0
2020-04-26,140.0
2020-04-27,142.0
2020-04-28,142.0
2020-04-29,145.0
2020-04-30,148.0
2020-05-01,156.0
2020-05-02,160.0
2020-05-03,164.0
2020-05-04,166.0
2020-05-05,174.0
2020-05-06,175.0
2020-05-07,195.0
2020-05-08,209.0
2020-05-09,228.0
2020-05-10,232.0
2020-05-11,245.0
2020-05-12,268.0
2020-05-13,297.0
2020-05-14,319.0
2020-05-15,337.0
2020-05-16,354.0
2020-05-17,370.0
2020-05-18,386.0
2020-05-19,404.0
2020-05-20,426.0
2020-05-21,503.0
2020-05-22,512.0
2020-05-23,569.0
2020-05-24,639.0
2020-05-25,665.0
2020-05-26,703.0
2020-05-27,773.0
2020-05-28,842.0
2020-05-29,897.0
2020-05-30,954.0
2020-05-31,995.0
2020-06-01,1042.0
2020-06-02,1101.0
2020-06-03,1143.0
2020-06-04,1255.0
2020-06-05,1365.0
2020-06-06,1444.0
2020-06-07,1505.0
2020-06-08,1647.0
2020-06-09,1739.0
2020-06-10,1810.0
2020-06-11,2001.0
2020-06-12,2097.0
2020-06-13,2118.0
2020-06-14,2254.0
2020-06-15,2483.0
2020-06-16,2531.0
2020-06-17,2705.0
2020-06-18,2845.0
2020-06-19,3057.0
2020-06-20,3211.0
2020-06-21,3410.0
2020-06-22,3689.0
2020-06-23,3893.0
2020-06-24,4151.0
2020-06-25,4305.0
2020-06-26,4520.0
