Data,SURSRSCA43001
2020-03-27,0.0
2020-03-28,3.0
2020-03-29,3.0
2020-03-30,3.0
2020-03-31,3.0
2020-04-01,3.0
2020-04-02,3.0
2020-04-03,3.0
2020-04-04,3.0
2020-04-05,3.0
2020-04-06,3.0
2020-04-07,3.0
2020-04-08,3.0
2020-04-09,9.0
2020-04-10,9.0
2020-04-11,9.0
2020-04-12,9.0
2020-04-13,9.0
2020-04-14,9.0
2020-04-15,14.0
2020-04-16,14.0
2020-04-17,14.0
2020-04-18,14.0
2020-04-19,14.0
2020-04-20,19.0
2020-04-21,19.0
2020-04-22,19.0
2020-04-23,23.0
2020-04-24,23.0
2020-04-25,23.0
2020-04-26,23.0
2020-04-27,23.0
2020-04-28,26.0
2020-04-29,26.0
2020-04-30,27.0
2020-05-01,27.0
2020-05-02,27.0
2020-05-03,27.0
2020-05-04,27.0
2020-05-05,27.0
2020-05-06,29.0
2020-05-07,32.0
2020-05-08,33.0
2020-05-09,33.0
2020-05-10,33.0
2020-05-11,33.0
2020-05-12,41.0
2020-05-13,41.0
2020-05-14,41.0
2020-05-15,47.0
2020-05-16,48.0
2020-05-17,49.0
2020-05-18,49.0
2020-05-19,49.0
2020-05-20,128.0
2020-05-21,136.0
2020-05-22,145.0
2020-05-23,149.0
2020-05-24,150.0
2020-05-25,155.0
2020-05-26,161.0
2020-05-27,177.0
2020-05-28,225.0
2020-05-29,252.0
2020-05-30,257.0
2020-05-31,258.0
2020-06-01,258.0
2020-06-02,312.0
2020-06-03,337.0
2020-06-04,357.0
2020-06-05,390.0
2020-06-06,426.0
2020-06-07,430.0
2020-06-08,435.0
2020-06-09,444.0
2020-06-10,451.0
2020-06-11,457.0
2020-06-12,457.0
2020-06-13,465.0
2020-06-14,468.0
2020-06-15,535.0
2020-06-16,608.0
2020-06-17,627.0
2020-06-18,654.0
2020-06-19,661.0
2020-06-20,660.0
2020-06-21,662.0
2020-06-22,679.0
2020-06-23,699.0
2020-06-24,711.0
2020-06-25,716.0
2020-06-26,745.0
2020-06-27,753.0
2020-06-28,753.0
2020-06-29,758.0
2020-06-30,778.0
2020-07-01,783.0
2020-07-02,788.0
2020-07-03,794.0
2020-07-04,847.0
2020-07-05,852.0
2020-07-06,863.0
2020-07-07,874.0
2020-07-08,877.0
2020-07-09,887.0
2020-07-10,892.0
2020-07-11,900.0
2020-07-12,900.0
2020-07-13,914.0
2020-07-14,924.0
2020-07-15,947.0
2020-07-16,975.0
