Data,NOTORSCA17006
2020-03-27,0.0
2020-03-28,8.0
2020-03-29,8.0
2020-03-30,9.0
2020-03-31,9.0
2020-04-01,9.0
2020-04-02,9.0
2020-04-03,9.0
2020-04-04,10.0
2020-04-05,12.0
2020-04-06,12.0
2020-04-07,13.0
2020-04-08,15.0
2020-04-09,15.0
2020-04-10,15.0
2020-04-11,15.0
2020-04-12,15.0
2020-04-13,16.0
2020-04-14,16.0
2020-04-15,17.0
2020-04-16,21.0
2020-04-17,21.0
2020-04-18,23.0
2020-04-19,23.0
2020-04-20,24.0
2020-04-21,26.0
2020-04-22,26.0
2020-04-23,25.0
2020-04-24,28.0
2020-04-25,30.0
2020-04-26,31.0
2020-04-27,33.0
2020-04-28,38.0
2020-04-29,49.0
2020-04-30,55.0
2020-05-01,64.0
2020-05-02,70.0
2020-05-03,87.0
2020-05-04,95.0
2020-05-05,108.0
2020-05-06,114.0
2020-05-07,136.0
2020-05-08,153.0
2020-05-09,164.0
2020-05-10,170.0
2020-05-11,177.0
2020-05-12,190.0
2020-05-13,212.0
2020-05-14,225.0
2020-05-15,249.0
2020-05-16,267.0
2020-05-17,283.0
2020-05-18,323.0
2020-05-19,339.0
2020-05-20,358.0
2020-05-21,378.0
2020-05-22,403.0
2020-05-23,425.0
2020-05-24,444.0
2020-05-25,450.0
2020-05-26,473.0
2020-05-27,531.0
2020-05-28,552.0
2020-05-29,587.0
2020-05-30,643.0
2020-05-31,668.0
2020-06-01,678.0
2020-06-02,710.0
2020-06-03,744.0
2020-06-04,768.0
2020-06-05,813.0
2020-06-06,860.0
2020-06-07,890.0
2020-06-08,903.0
2020-06-09,934.0
2020-06-10,984.0
2020-06-11,1013.0
2020-06-12,1028.0
2020-06-13,1073.0
2020-06-14,1083.0
2020-06-15,1103.0
2020-06-16,1153.0
2020-06-17,1194.0
