Data,NOAPRSCA16003
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,1.0
2020-04-06,3.0
2020-04-07,3.0
2020-04-08,11.0
2020-04-09,11.0
2020-04-10,19.0
2020-04-11,21.0
2020-04-12,31.0
2020-04-13,31.0
2020-04-14,44.0
2020-04-15,45.0
2020-04-16,54.0
2020-04-17,57.0
2020-04-18,66.0
2020-04-19,69.0
2020-04-20,69.0
2020-04-21,72.0
2020-04-22,76.0
2020-04-23,89.0
2020-04-24,113.0
2020-04-25,128.0
2020-04-26,145.0
2020-04-27,154.0
2020-04-28,164.0
2020-04-29,178.0
2020-04-30,199.0
2020-05-01,208.0
2020-05-02,232.0
2020-05-03,306.0
2020-05-04,383.0
2020-05-05,442.0
2020-05-06,463.0
2020-05-07,496.0
2020-05-08,552.0
2020-05-09,616.0
2020-05-10,630.0
2020-05-11,638.0
2020-05-12,701.0
2020-05-13,749.0
2020-05-14,794.0
2020-05-15,820.0
2020-05-16,864.0
2020-05-17,934.0
2020-05-18,976.0
2020-05-19,1021.0
2020-05-20,1124.0
2020-05-21,1378.0
2020-05-22,1623.0
2020-05-23,1764.0
2020-05-24,1875.0
2020-05-25,2027.0
2020-05-26,2148.0
2020-05-27,2377.0
2020-05-28,2501.0
2020-05-29,2658.0
2020-05-30,2761.0
2020-05-31,2891.0
2020-06-01,3012.0
2020-06-02,3258.0
2020-06-03,3415.0
2020-06-04,3484.0
2020-06-05,3805.0
2020-06-06,4078.0
2020-06-07,4261.0
2020-06-08,4374.0
2020-06-09,4554.0
2020-06-10,4771.0
2020-06-11,4973.0
2020-06-12,5084.0
2020-06-13,5240.0
2020-06-14,5338.0
2020-06-15,5507.0
2020-06-16,5666.0
2020-06-17,5795.0
2020-06-18,6077.0
2020-06-19,6214.0
2020-06-20,6615.0
2020-06-21,6672.0
2020-06-22,6830.0
2020-06-23,7560.0
2020-06-24,7682.0
2020-06-25,7936.0
2020-06-26,8067.0
2020-06-27,8224.0
2020-06-28,8243.0
2020-06-29,8427.0
2020-06-30,8532.0
2020-07-01,8832.0
2020-07-02,8924.0
2020-07-03,9073.0
2020-07-04,9218.0
2020-07-05,9269.0
2020-07-06,9349.0
2020-07-07,9467.0
2020-07-08,9564.0
2020-07-09,9655.0
2020-07-10,9752.0
2020-07-11,9837.0
2020-07-12,9850.0
2020-07-13,9925.0
2020-07-14,10065.0
2020-07-15,10171.0
2020-07-16,10425.0
2020-07-17,10479.0
2020-07-18,10528.0
2020-07-19,10596.0
2020-07-20,10635.0
2020-07-21,10713.0
