Data,CNRiR_An
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,6
2020-03-26,0
2020-03-27,2
2020-03-28,2
2020-03-29,4
2020-03-30,0
2020-03-31,0
2020-04-01,6
2020-04-02,4
2020-04-03,4
2020-04-04,7
2020-04-05,5
2020-04-06,0
2020-04-07,0
2020-04-08,7
2020-04-09,3
2020-04-10,11
2020-04-11,12
2020-04-12,4
2020-04-13,4
2020-04-14,30
2020-04-15,1
2020-04-16,28
2020-04-17,22
2020-04-18,37
2020-04-19,21
2020-04-20,22
2020-04-21,3
2020-04-22,33
2020-04-23,17
2020-04-24,7
2020-04-25,41
2020-04-26,56
2020-04-27,6
2020-04-28,18
2020-04-29,27
2020-04-30,67
2020-05-01,83
2020-05-02,66
2020-05-03,72
2020-05-04,66
2020-05-05,63
2020-05-06,63
2020-05-07,88
2020-05-08,104
2020-05-09,78
2020-05-10,88
2020-05-11,5
2020-05-12,33
2020-05-13,83
2020-05-14,89
2020-05-15,89
2020-05-16,117
2020-05-17,85
2020-05-18,85
2020-05-19,109
2020-05-20,82
2020-05-21,79
2020-05-22,160
2020-05-23,68
2020-05-24,65
2020-05-25,75
2020-05-26,69
2020-05-27,99
2020-05-28,277
2020-05-29,139
2020-05-30,201
2020-05-31,175
