Data,NERNRSCA24002
2020-03-27,0.0
2020-03-28,14.0
2020-03-29,17.0
2020-03-30,18.0
2020-03-31,19.0
2020-04-01,22.0
2020-04-02,23.0
2020-04-03,46.0
2020-04-04,57.0
2020-04-05,62.0
2020-04-06,63.0
2020-04-07,67.0
2020-04-08,68.0
2020-04-09,68.0
2020-04-10,68.0
2020-04-11,71.0
2020-04-12,73.0
2020-04-13,85.0
2020-04-14,92.0
2020-04-15,94.0
2020-04-16,94.0
2020-04-17,100.0
2020-04-18,103.0
2020-04-19,106.0
2020-04-20,115.0
2020-04-21,119.0
2020-04-22,120.0
2020-04-23,120.0
2020-04-24,124.0
2020-04-25,125.0
2020-04-26,129.0
2020-04-27,132.0
2020-04-28,137.0
2020-04-29,198.0
2020-04-30,209.0
2020-05-01,230.0
2020-05-02,238.0
2020-05-03,242.0
2020-05-04,248.0
2020-05-05,324.0
2020-05-06,319.0
2020-05-07,369.0
2020-05-08,387.0
2020-05-09,399.0
2020-05-10,405.0
2020-05-11,418.0
2020-05-12,458.0
2020-05-13,582.0
2020-05-14,639.0
2020-05-15,723.0
2020-05-16,766.0
2020-05-17,800.0
2020-05-18,822.0
2020-05-19,931.0
2020-05-20,1013.0
2020-05-21,1093.0
2020-05-22,1147.0
2020-05-23,1240.0
2020-05-24,1249.0
2020-05-25,1274.0
2020-05-26,1379.0
2020-05-27,1414.0
2020-05-28,1414.0
2020-05-29,1595.0
2020-05-30,1745.0
2020-05-31,1745.0
2020-06-01,1835.0
2020-06-02,1870.0
2020-06-03,2056.0
2020-06-04,2092.0
2020-06-05,2134.0
2020-06-06,2135.0
2020-06-07,2137.0
2020-06-08,2373.0
2020-06-09,2402.0
2020-06-10,2489.0
2020-06-11,2742.0
2020-06-12,2770.0
2020-06-13,2799.0
2020-06-14,2828.0
2020-06-15,2849.0
2020-06-16,2972.0
2020-06-17,2972.0
2020-06-18,3090.0
2020-06-19,3121.0
2020-06-20,3579.0
2020-06-21,3578.0
2020-06-22,3586.0
2020-06-23,3600.0
2020-06-24,3899.0
2020-06-25,4036.0
2020-06-26,4216.0
2020-06-27,4317.0
2020-06-28,4312.0
2020-06-29,4896.0
2020-06-30,5009.0
2020-07-01,5250.0
2020-07-02,5417.0
2020-07-03,5479.0
2020-07-04,5615.0
2020-07-05,5692.0
2020-07-06,5775.0
2020-07-07,5896.0
2020-07-08,6011.0
2020-07-09,6090.0
