Data,SEESRSOA32003
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,1.0
2020-04-06,1.0
2020-04-07,1.0
2020-04-08,1.0
2020-04-09,1.0
2020-04-10,1.0
2020-04-11,1.0
2020-04-12,1.0
2020-04-13,1.0
2020-04-14,1.0
2020-04-15,1.0
2020-04-16,1.0
2020-04-17,1.0
2020-04-18,1.0
2020-04-19,1.0
2020-04-20,1.0
2020-04-21,1.0
2020-04-22,1.0
2020-04-23,1.0
2020-04-24,1.0
2020-04-25,1.0
2020-04-26,1.0
2020-04-27,1.0
2020-04-28,1.0
2020-04-29,1.0
2020-04-30,3.0
2020-05-01,3.0
2020-05-02,3.0
2020-05-03,3.0
2020-05-04,3.0
2020-05-05,4.0
2020-05-06,4.0
2020-05-07,4.0
2020-05-08,5.0
2020-05-09,6.0
2020-05-10,6.0
2020-05-11,6.0
2020-05-12,6.0
2020-05-13,6.0
2020-05-14,6.0
2020-05-15,6.0
2020-05-16,6.0
2020-05-17,7.0
2020-05-18,8.0
2020-05-19,9.0
2020-05-20,10.0
2020-05-21,11.0
2020-05-22,14.0
2020-05-23,15.0
2020-05-24,16.0
2020-05-25,16.0
2020-05-26,17.0
2020-05-27,19.0
2020-05-28,19.0
2020-05-29,19.0
2020-05-30,21.0
2020-05-31,22.0
2020-06-01,22.0
2020-06-02,24.0
2020-06-03,25.0
2020-06-04,25.0
2020-06-05,25.0
2020-06-06,26.0
2020-06-07,27.0
2020-06-08,31.0
2020-06-09,34.0
2020-06-10,35.0
2020-06-11,36.0
2020-06-12,37.0
2020-06-13,40.0
2020-06-14,41.0
2020-06-15,41.0
2020-06-16,42.0
2020-06-17,44.0
2020-06-18,46.0
