Data,SERJRSCA33009
2020-03-27,0.0
2020-03-28,4.0
2020-03-29,5.0
2020-03-30,6.0
2020-03-31,7.0
2020-04-01,7.0
2020-04-02,15.0
2020-04-03,15.0
2020-04-04,20.0
2020-04-05,25.0
2020-04-06,29.0
2020-04-07,38.0
2020-04-08,40.0
2020-04-09,49.0
2020-04-10,55.0
2020-04-11,56.0
2020-04-12,60.0
2020-04-13,62.0
2020-04-14,66.0
2020-04-15,87.0
2020-04-16,113.0
2020-04-17,119.0
2020-04-18,125.0
2020-04-19,126.0
2020-04-20,138.0
2020-04-21,138.0
2020-04-22,145.0
2020-04-23,162.0
2020-04-24,164.0
2020-04-25,174.0
2020-04-26,185.0
2020-04-27,187.0
2020-04-28,198.0
2020-04-29,206.0
2020-04-30,219.0
2020-05-01,244.0
2020-05-02,252.0
2020-05-03,273.0
2020-05-04,274.0
2020-05-05,277.0
2020-05-06,286.0
2020-05-07,315.0
2020-05-08,355.0
2020-05-09,387.0
2020-05-10,388.0
2020-05-11,446.0
2020-05-12,471.0
2020-05-13,475.0
2020-05-14,526.0
2020-05-15,529.0
2020-05-16,618.0
2020-05-17,618.0
2020-05-18,810.0
2020-05-19,810.0
2020-05-20,816.0
2020-05-21,818.0
2020-05-22,821.0
2020-05-23,826.0
2020-05-24,1141.0
2020-05-25,1172.0
2020-05-26,1204.0
2020-05-27,1324.0
2020-05-28,1389.0
2020-05-29,1448.0
2020-05-30,1717.0
2020-05-31,1725.0
2020-06-01,1727.0
2020-06-02,1815.0
2020-06-03,1870.0
2020-06-04,1956.0
2020-06-05,1992.0
2020-06-06,2027.0
2020-06-07,2324.0
2020-06-08,2431.0
2020-06-09,2625.0
2020-06-10,2655.0
2020-06-11,2623.0
2020-06-12,2686.0
2020-06-13,2706.0
2020-06-14,2733.0
2020-06-15,2818.0
2020-06-16,2858.0
2020-06-17,2932.0
2020-06-18,2935.0
2020-06-19,3187.0
2020-06-20,3245.0
2020-06-21,3254.0
2020-06-22,3292.0
2020-06-23,3397.0
2020-06-24,3511.0
2020-06-25,3596.0
2020-06-26,3716.0
2020-06-27,3726.0
2020-06-28,3807.0
2020-06-29,3812.0
2020-06-30,3832.0
2020-07-01,4001.0
2020-07-02,4079.0
2020-07-03,4155.0
2020-07-04,4269.0
2020-07-05,4301.0
2020-07-06,4310.0
2020-07-07,4378.0
2020-07-08,4488.0
2020-07-09,4540.0
2020-07-10,4573.0
2020-07-11,4581.0
2020-07-12,4581.0
2020-07-13,4736.0
2020-07-14,4776.0
2020-07-15,4972.0
2020-07-16,4982.0
2020-07-17,4958.0
2020-07-18,4958.0
2020-07-19,5165.0
2020-07-20,5379.0
2020-07-21,5695.0
2020-07-22,5943.0
2020-07-23,6192.0
2020-07-24,6513.0
2020-07-25,6610.0
2020-07-26,6610.0
2020-07-27,6722.0
2020-07-28,6924.0
2020-07-29,7146.0
2020-07-30,7334.0
2020-07-31,7527.0
2020-08-01,7647.0
2020-08-02,7647.0
2020-08-03,7710.0
2020-08-04,7735.0
2020-08-05,8152.0
2020-08-06,8282.0
2020-08-07,8443.0
2020-08-08,8597.0
2020-08-09,8614.0
2020-08-10,8694.0
