Data,NEMARSOA21016
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,1.0
2020-03-31,1.0
2020-04-01,1.0
2020-04-02,1.0
2020-04-03,1.0
2020-04-04,1.0
2020-04-05,2.0
2020-04-06,2.0
2020-04-07,4.0
2020-04-08,11.0
2020-04-09,12.0
2020-04-10,16.0
2020-04-11,21.0
2020-04-12,24.0
2020-04-13,27.0
2020-04-14,32.0
2020-04-15,34.0
2020-04-16,37.0
2020-04-17,40.0
2020-04-18,42.0
2020-04-19,46.0
2020-04-20,49.0
2020-04-21,55.0
2020-04-22,61.0
2020-04-23,71.0
2020-04-24,81.0
2020-04-25,92.0
2020-04-26,100.0
2020-04-27,112.0
2020-04-28,131.0
2020-04-29,152.0
2020-04-30,166.0
2020-05-01,182.0
2020-05-02,196.0
2020-05-03,205.0
2020-05-04,217.0
2020-05-05,234.0
2020-05-06,250.0
2020-05-07,262.0
2020-05-08,282.0
2020-05-09,299.0
2020-05-10,320.0
2020-05-11,336.0
2020-05-12,359.0
2020-05-13,367.0
2020-05-14,384.0
2020-05-15,403.0
2020-05-16,420.0
2020-05-17,439.0
2020-05-18,447.0
2020-05-19,463.0
2020-05-20,488.0
2020-05-21,504.0
2020-05-22,525.0
2020-05-23,540.0
2020-05-24,551.0
2020-05-25,559.0
2020-05-26,568.0
2020-05-27,583.0
2020-05-28,593.0
2020-05-29,596.0
2020-05-30,599.0
2020-05-31,605.0
2020-06-01,610.0
2020-06-02,615.0
2020-06-03,624.0
2020-06-04,630.0
2020-06-05,639.0
2020-06-06,645.0
2020-06-07,657.0
2020-06-08,679.0
2020-06-09,691.0
2020-06-10,693.0
2020-06-11,705.0
2020-06-12,718.0
2020-06-13,733.0
2020-06-14,745.0
2020-06-15,758.0
2020-06-16,771.0
2020-06-17,788.0
2020-06-18,805.0
2020-06-19,818.0
2020-06-20,834.0
2020-06-21,846.0
2020-06-22,857.0
2020-06-23,873.0
2020-06-24,890.0
2020-06-25,906.0
2020-06-26,927.0
2020-06-27,950.0
2020-06-28,966.0
2020-06-29,978.0
2020-06-30,993.0
