Data,COGORSCA52018
2020-03-27,0.0
2020-03-28,1.0
2020-03-29,1.0
2020-03-30,1.0
2020-03-31,1.0
2020-04-01,1.0
2020-04-02,1.0
2020-04-03,1.0
2020-04-04,1.0
2020-04-05,1.0
2020-04-06,1.0
2020-04-07,5.0
2020-04-08,7.0
2020-04-09,8.0
2020-04-10,8.0
2020-04-11,10.0
2020-04-12,11.0
2020-04-13,11.0
2020-04-14,17.0
2020-04-15,17.0
2020-04-16,18.0
2020-04-17,23.0
2020-04-18,23.0
2020-04-19,24.0
2020-04-20,26.0
2020-04-21,26.0
2020-04-22,26.0
2020-04-23,27.0
2020-04-24,30.0
2020-04-25,31.0
2020-04-26,32.0
2020-04-27,32.0
2020-04-28,32.0
2020-04-29,32.0
2020-04-30,33.0
2020-05-01,33.0
2020-05-02,33.0
2020-05-03,33.0
2020-05-04,33.0
2020-05-05,33.0
2020-05-06,38.0
2020-05-07,38.0
2020-05-08,37.0
2020-05-09,38.0
2020-05-10,38.0
2020-05-11,38.0
2020-05-12,38.0
2020-05-13,39.0
2020-05-14,41.0
2020-05-15,41.0
2020-05-16,41.0
2020-05-17,41.0
2020-05-18,41.0
2020-05-19,43.0
2020-05-20,45.0
2020-05-21,48.0
2020-05-22,52.0
2020-05-23,51.0
2020-05-24,51.0
2020-05-25,52.0
2020-05-26,54.0
2020-05-27,55.0
2020-05-28,61.0
2020-05-29,100.0
2020-05-30,104.0
2020-05-31,105.0
2020-06-01,107.0
2020-06-02,123.0
2020-06-03,120.0
2020-06-04,123.0
2020-06-05,127.0
2020-06-06,121.0
2020-06-07,121.0
2020-06-08,123.0
2020-06-09,133.0
2020-06-10,138.0
2020-06-11,138.0
2020-06-12,137.0
2020-06-13,138.0
2020-06-14,138.0
2020-06-15,151.0
2020-06-16,175.0
2020-06-17,180.0
2020-06-18,189.0
2020-06-19,187.0
2020-06-20,191.0
2020-06-21,191.0
2020-06-22,201.0
2020-06-23,196.0
2020-06-24,205.0
2020-06-25,216.0
2020-06-26,217.0
2020-06-27,261.0
2020-06-28,262.0
2020-06-29,261.0
2020-06-30,308.0
2020-07-01,318.0
2020-07-02,322.0
2020-07-03,322.0
2020-07-04,360.0
2020-07-05,360.0
2020-07-06,374.0
2020-07-07,404.0
2020-07-08,420.0
2020-07-09,490.0
