Data,OAPiR_An
2020-03-12,0.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,0.0
2020-03-16,0.0
2020-03-17,0.0
2020-03-18,0.0
2020-03-19,0.0
2020-03-20,0.0
2020-03-21,0.0
2020-03-22,0.0
2020-03-23,0.0
2020-03-24,0.0
2020-03-25,0.0
2020-03-26,0.0
2020-03-27,2.0
2020-03-28,2.0
2020-03-29,2.0
2020-03-30,3.0
2020-03-31,3.0
2020-04-01,3.0
2020-04-02,4.0
2020-04-03,4.0
2020-04-04,6.0
2020-04-05,9.0
2020-04-06,11.0
2020-04-07,15.0
2020-04-08,17.0
2020-04-09,22.0
2020-04-10,25.0
2020-04-11,26.0
2020-04-12,30.0
2020-04-13,31.0
2020-04-14,36.0
2020-04-15,38.0
2020-04-16,41.0
2020-04-17,42.0
2020-04-18,46.0
2020-04-19,48.0
2020-04-20,51.0
2020-04-21,51.0
2020-04-22,57.0
2020-04-23,60.0
2020-04-24,64.0
2020-04-25,69.0
2020-04-26,72.0
2020-04-27,75.0
2020-04-28,77.0
2020-04-29,82.0
2020-04-30,83.0
2020-05-01,89.0
2020-05-02,90.0
2020-05-03,93.0
2020-05-04,94.0
2020-05-05,99.0
2020-05-06,101.0
2020-05-07,104.0
2020-05-08,106.0
2020-05-09,107.0
2020-05-10,109.0
2020-05-11,111.0
2020-05-12,113.0
2020-05-13,117.0
2020-05-14,119.0
2020-05-15,120.0
2020-05-16,123.0
2020-05-17,124.0
2020-05-18,127.0
2020-05-19,129.0
2020-05-20,137.0
2020-05-21,141.0
2020-05-22,146.0
2020-05-23,150.0
2020-05-24,153.0
2020-05-25,156.0
2020-05-26,159.0
2020-05-27,162.0
2020-05-28,169.0
2020-05-29,173.0
2020-05-30,181.0
2020-05-31,182.0
2020-06-01,190.0
2020-06-02,199.0
2020-06-03,205.0
2020-06-04,215.0
2020-06-05,227.0
2020-06-06,232.0
2020-06-07,237.0
