Data,SUSCRSCA42014
2020-03-27,0.0
2020-03-28,2.0
2020-03-29,2.0
2020-03-30,2.0
2020-03-31,2.0
2020-04-01,2.0
2020-04-02,2.0
2020-04-03,2.0
2020-04-04,5.0
2020-04-05,7.0
2020-04-06,9.0
2020-04-07,10.0
2020-04-08,10.0
2020-04-09,10.0
2020-04-10,15.0
2020-04-11,16.0
2020-04-12,16.0
2020-04-13,16.0
2020-04-14,17.0
2020-04-15,17.0
2020-04-16,18.0
2020-04-17,19.0
2020-04-18,21.0
2020-04-19,21.0
2020-04-20,21.0
2020-04-21,21.0
2020-04-22,21.0
2020-04-23,22.0
2020-04-24,24.0
2020-04-25,24.0
2020-04-26,24.0
2020-04-27,25.0
2020-04-28,25.0
2020-04-29,46.0
2020-04-30,49.0
2020-05-01,47.0
2020-05-02,50.0
2020-05-03,50.0
2020-05-04,51.0
2020-05-05,53.0
2020-05-06,62.0
2020-05-07,68.0
2020-05-08,69.0
2020-05-09,74.0
2020-05-10,74.0
2020-05-11,77.0
2020-05-12,81.0
2020-05-13,83.0
2020-05-14,100.0
2020-05-15,101.0
2020-05-16,103.0
2020-05-17,108.0
2020-05-18,123.0
2020-05-19,131.0
2020-05-20,132.0
2020-05-21,138.0
2020-05-22,155.0
2020-05-23,155.0
2020-05-24,171.0
2020-05-25,175.0
2020-05-26,190.0
2020-05-27,196.0
2020-05-28,213.0
2020-05-29,231.0
2020-05-30,247.0
2020-05-31,248.0
2020-06-01,256.0
2020-06-02,265.0
2020-06-03,269.0
2020-06-04,270.0
2020-06-05,278.0
2020-06-06,286.0
2020-06-07,287.0
2020-06-08,287.0
2020-06-09,297.0
2020-06-10,303.0
2020-06-11,308.0
2020-06-12,311.0
2020-06-13,311.0
2020-06-14,312.0
2020-06-15,315.0
2020-06-16,317.0
2020-06-17,320.0
2020-06-18,323.0
2020-06-19,326.0
2020-06-20,342.0
2020-06-21,342.0
2020-06-22,352.0
2020-06-23,358.0
2020-06-24,362.0
2020-06-25,368.0
2020-06-26,377.0
2020-06-27,382.0
2020-06-28,387.0
2020-06-29,404.0
2020-06-30,410.0
2020-07-01,418.0
2020-07-02,432.0
2020-07-03,451.0
2020-07-04,460.0
2020-07-05,476.0
2020-07-06,481.0
2020-07-07,502.0
2020-07-08,520.0
2020-07-09,545.0
