Data,NEBARSCA29027
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,1.0
2020-04-05,1.0
2020-04-06,1.0
2020-04-07,1.0
2020-04-08,1.0
2020-04-09,2.0
2020-04-10,2.0
2020-04-11,2.0
2020-04-12,2.0
2020-04-13,2.0
2020-04-14,2.0
2020-04-15,3.0
2020-04-16,3.0
2020-04-17,4.0
2020-04-18,6.0
2020-04-19,8.0
2020-04-20,8.0
2020-04-21,9.0
2020-04-22,10.0
2020-04-23,10.0
2020-04-24,13.0
2020-04-25,14.0
2020-04-26,16.0
2020-04-27,16.0
2020-04-28,16.0
2020-04-29,16.0
2020-04-30,16.0
2020-05-01,16.0
2020-05-02,18.0
2020-05-03,21.0
2020-05-04,22.0
2020-05-05,23.0
2020-05-06,24.0
2020-05-07,25.0
2020-05-08,25.0
2020-05-09,25.0
2020-05-10,25.0
2020-05-11,25.0
2020-05-12,27.0
2020-05-13,27.0
2020-05-14,27.0
2020-05-15,52.0
2020-05-16,43.0
2020-05-17,42.0
2020-05-18,43.0
2020-05-19,53.0
2020-05-20,55.0
2020-05-21,61.0
2020-05-22,61.0
2020-05-23,64.0
2020-05-24,75.0
2020-05-25,77.0
2020-05-26,78.0
2020-05-27,82.0
2020-05-28,88.0
2020-05-29,104.0
2020-05-30,114.0
2020-05-31,130.0
2020-06-01,149.0
2020-06-02,186.0
2020-06-03,198.0
2020-06-04,208.0
2020-06-05,240.0
2020-06-06,265.0
2020-06-07,298.0
2020-06-08,312.0
2020-06-09,365.0
2020-06-10,426.0
2020-06-11,448.0
2020-06-12,472.0
2020-06-13,498.0
2020-06-14,568.0
2020-06-15,584.0
2020-06-16,640.0
2020-06-17,670.0
2020-06-18,699.0
2020-06-19,738.0
2020-06-20,810.0
2020-06-21,831.0
2020-06-22,883.0
2020-06-23,922.0
2020-06-24,1036.0
2020-06-25,1126.0
2020-06-26,1188.0
2020-06-27,1392.0
2020-06-28,1492.0
2020-06-29,1556.0
2020-06-30,1749.0
2020-07-01,1879.0
2020-07-02,2004.0
2020-07-03,2121.0
2020-07-04,2233.0
2020-07-05,2314.0
2020-07-06,2350.0
