Data,NEMARSOA21011
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,0.0
2020-04-07,0.0
2020-04-08,0.0
2020-04-09,0.0
2020-04-10,0.0
2020-04-11,0.0
2020-04-12,0.0
2020-04-13,0.0
2020-04-14,0.0
2020-04-15,0.0
2020-04-16,0.0
2020-04-17,0.0
2020-04-18,0.0
2020-04-19,0.0
2020-04-20,1.0
2020-04-21,1.0
2020-04-22,1.0
2020-04-23,1.0
2020-04-24,1.0
2020-04-25,1.0
2020-04-26,2.0
2020-04-27,2.0
2020-04-28,2.0
2020-04-29,2.0
2020-04-30,2.0
2020-05-01,2.0
2020-05-02,2.0
2020-05-03,2.0
2020-05-04,2.0
2020-05-05,3.0
2020-05-06,3.0
2020-05-07,3.0
2020-05-08,5.0
2020-05-09,5.0
2020-05-10,6.0
2020-05-11,6.0
2020-05-12,6.0
2020-05-13,7.0
2020-05-14,8.0
2020-05-15,8.0
2020-05-16,9.0
2020-05-17,9.0
2020-05-18,12.0
2020-05-19,12.0
2020-05-20,12.0
2020-05-21,12.0
2020-05-22,14.0
2020-05-23,15.0
2020-05-24,17.0
2020-05-25,17.0
2020-05-26,21.0
2020-05-27,23.0
2020-05-28,26.0
2020-05-29,30.0
2020-05-30,30.0
2020-05-31,31.0
2020-06-01,31.0
2020-06-02,32.0
2020-06-03,36.0
2020-06-04,38.0
2020-06-05,38.0
2020-06-06,38.0
2020-06-07,38.0
2020-06-08,45.0
2020-06-09,51.0
2020-06-10,49.0
2020-06-11,51.0
2020-06-12,49.0
2020-06-13,51.0
2020-06-14,51.0
2020-06-15,51.0
2020-06-16,57.0
2020-06-17,58.0
2020-06-18,61.0
2020-06-19,61.0
2020-06-20,61.0
2020-06-21,62.0
2020-06-22,62.0
2020-06-23,64.0
2020-06-24,68.0
2020-06-25,70.0
2020-06-26,71.0
2020-06-27,71.0
2020-06-28,71.0
2020-06-29,71.0
2020-06-30,72.0
2020-07-01,72.0
2020-07-02,72.0
2020-07-03,73.0
2020-07-04,74.0
2020-07-05,74.0
2020-07-06,74.0
2020-07-07,74.0
2020-07-08,74.0
2020-07-09,76.0
2020-07-10,76.0
2020-07-11,77.0
2020-07-12,77.0
2020-07-13,79.0
2020-07-14,79.0
2020-07-15,79.0
2020-07-16,79.0
2020-07-17,80.0
2020-07-18,80.0
2020-07-19,82.0
2020-07-20,82.0
