Data,NEPBRSCA25005
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,1.0
2020-04-05,1.0
2020-04-06,1.0
2020-04-07,1.0
2020-04-08,1.0
2020-04-09,1.0
2020-04-10,1.0
2020-04-11,1.0
2020-04-12,1.0
2020-04-13,1.0
2020-04-14,1.0
2020-04-15,1.0
2020-04-16,1.0
2020-04-17,1.0
2020-04-18,1.0
2020-04-19,2.0
2020-04-20,2.0
2020-04-21,2.0
2020-04-22,2.0
2020-04-23,2.0
2020-04-24,2.0
2020-04-25,3.0
2020-04-26,3.0
2020-04-27,3.0
2020-04-28,3.0
2020-04-29,3.0
2020-04-30,3.0
2020-05-01,3.0
2020-05-02,5.0
2020-05-03,6.0
2020-05-04,6.0
2020-05-05,6.0
2020-05-06,7.0
2020-05-07,7.0
2020-05-08,8.0
2020-05-09,8.0
2020-05-10,8.0
2020-05-11,9.0
2020-05-12,12.0
2020-05-13,14.0
2020-05-14,24.0
2020-05-15,27.0
2020-05-16,31.0
2020-05-17,31.0
2020-05-18,38.0
2020-05-19,39.0
2020-05-20,46.0
2020-05-21,46.0
2020-05-22,54.0
2020-05-23,60.0
2020-05-24,61.0
2020-05-25,61.0
2020-05-26,63.0
2020-05-27,79.0
2020-05-28,67.0
2020-05-29,74.0
2020-05-30,88.0
2020-05-31,93.0
2020-06-01,98.0
2020-06-02,114.0
2020-06-03,122.0
2020-06-04,137.0
2020-06-05,137.0
2020-06-06,139.0
2020-06-07,143.0
2020-06-08,141.0
2020-06-09,138.0
2020-06-10,142.0
2020-06-11,140.0
2020-06-12,144.0
2020-06-13,145.0
2020-06-14,146.0
2020-06-15,146.0
2020-06-16,168.0
2020-06-17,176.0
2020-06-18,177.0
2020-06-19,195.0
2020-06-20,200.0
2020-06-21,206.0
2020-06-22,208.0
2020-06-23,220.0
2020-06-24,231.0
2020-06-25,250.0
2020-06-26,268.0
2020-06-27,288.0
2020-06-28,293.0
2020-06-29,295.0
2020-06-30,317.0
2020-07-01,339.0
2020-07-02,357.0
2020-07-03,377.0
2020-07-04,388.0
2020-07-05,390.0
2020-07-06,394.0
2020-07-07,434.0
2020-07-08,453.0
2020-07-09,478.0
2020-07-10,500.0
2020-07-11,518.0
2020-07-12,520.0
2020-07-13,521.0
2020-07-14,568.0
2020-07-15,583.0
