Data,SESPRSCA35031
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,1.0
2020-04-03,2.0
2020-04-04,2.0
2020-04-05,2.0
2020-04-06,4.0
2020-04-07,5.0
2020-04-08,5.0
2020-04-09,5.0
2020-04-10,7.0
2020-04-11,12.0
2020-04-12,12.0
2020-04-13,12.0
2020-04-14,15.0
2020-04-15,32.0
2020-04-16,40.0
2020-04-17,48.0
2020-04-18,52.0
2020-04-19,52.0
2020-04-20,57.0
2020-04-21,59.0
2020-04-22,59.0
2020-04-23,60.0
2020-04-24,57.0
2020-04-25,58.0
2020-04-26,58.0
2020-04-27,58.0
2020-04-28,66.0
2020-04-29,68.0
2020-04-30,85.0
2020-05-01,87.0
2020-05-02,87.0
2020-05-03,88.0
2020-05-04,89.0
2020-05-05,97.0
2020-05-06,103.0
2020-05-07,117.0
2020-05-08,121.0
2020-05-09,124.0
2020-05-10,126.0
2020-05-11,132.0
2020-05-12,134.0
2020-05-13,137.0
2020-05-14,146.0
2020-05-15,153.0
2020-05-16,158.0
2020-05-17,169.0
2020-05-18,169.0
2020-05-19,172.0
2020-05-20,181.0
2020-05-21,198.0
2020-05-22,211.0
2020-05-23,228.0
2020-05-24,237.0
2020-05-25,240.0
2020-05-26,244.0
2020-05-27,259.0
2020-05-28,277.0
2020-05-29,284.0
2020-05-30,307.0
2020-05-31,310.0
2020-06-01,311.0
2020-06-02,324.0
2020-06-03,349.0
2020-06-04,386.0
2020-06-05,418.0
2020-06-06,440.0
2020-06-07,463.0
2020-06-08,497.0
2020-06-09,502.0
2020-06-10,546.0
2020-06-11,586.0
2020-06-12,619.0
2020-06-13,648.0
2020-06-14,683.0
2020-06-15,697.0
2020-06-16,709.0
2020-06-17,709.0
2020-06-18,711.0
2020-06-19,829.0
2020-06-20,851.0
2020-06-21,879.0
2020-06-22,902.0
2020-06-23,911.0
2020-06-24,941.0
2020-06-25,986.0
