Data,NOAPRSOA16002
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,0.0
2020-04-07,0.0
2020-04-08,0.0
2020-04-09,0.0
2020-04-10,0.0
2020-04-11,0.0
2020-04-12,0.0
2020-04-13,0.0
2020-04-14,0.0
2020-04-15,0.0
2020-04-16,0.0
2020-04-17,0.0
2020-04-18,0.0
2020-04-19,0.0
2020-04-20,0.0
2020-04-21,0.0
2020-04-22,0.0
2020-04-23,0.0
2020-04-24,0.0
2020-04-25,0.0
2020-04-26,1.0
2020-04-27,1.0
2020-04-28,1.0
2020-04-29,1.0
2020-04-30,1.0
2020-05-01,1.0
2020-05-02,1.0
2020-05-03,1.0
2020-05-04,1.0
2020-05-05,1.0
2020-05-06,1.0
2020-05-07,2.0
2020-05-08,2.0
2020-05-09,2.0
2020-05-10,2.0
2020-05-11,2.0
2020-05-12,2.0
2020-05-13,2.0
2020-05-14,3.0
2020-05-15,4.0
2020-05-16,4.0
2020-05-17,4.0
2020-05-18,6.0
2020-05-19,7.0
2020-05-20,7.0
2020-05-21,7.0
2020-05-22,8.0
2020-05-23,9.0
2020-05-24,9.0
2020-05-25,9.0
2020-05-26,9.0
2020-05-27,9.0
2020-05-28,10.0
2020-05-29,11.0
2020-05-30,11.0
2020-05-31,12.0
2020-06-01,12.0
2020-06-02,12.0
2020-06-03,12.0
2020-06-04,12.0
2020-06-05,12.0
2020-06-06,13.0
2020-06-07,13.0
2020-06-08,13.0
2020-06-09,14.0
2020-06-10,14.0
2020-06-11,15.0
2020-06-12,15.0
2020-06-13,15.0
2020-06-14,16.0
2020-06-15,16.0
2020-06-16,17.0
2020-06-17,17.0
2020-06-18,17.0
2020-06-19,17.0
2020-06-20,17.0
2020-06-21,19.0
2020-06-22,19.0
2020-06-23,19.0
2020-06-24,19.0
2020-06-25,19.0
2020-06-26,20.0
2020-06-27,21.0
2020-06-28,21.0
2020-06-29,21.0
2020-06-30,21.0
2020-07-01,21.0
2020-07-02,21.0
2020-07-03,23.0
2020-07-04,24.0
2020-07-05,24.0
2020-07-06,26.0
2020-07-07,26.0
2020-07-08,28.0
2020-07-09,28.0
2020-07-10,28.0
2020-07-11,28.0
2020-07-12,28.0
