Data,ONBiR_An
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,0.0
2020-03-16,0.0
2020-03-17,1.0
2020-03-18,3.0
2020-03-19,2.0
2020-03-20,5.0
2020-03-21,7.0
2020-03-22,7.0
2020-03-23,9.0
2020-03-24,12.0
2020-03-25,11.0
2020-03-26,20.0
2020-03-27,15.0
2020-03-28,22.0
2020-03-29,22.0
2020-03-30,23.0
2020-03-31,42.0
2020-04-01,40.0
2020-04-02,58.0
2020-04-03,60.0
2020-04-04,73.0
2020-04-05,54.0
2020-04-06,67.0
2020-04-07,114.0
2020-04-08,133.0
2020-04-09,141.0
2020-04-10,115.0
2020-04-11,68.0
2020-04-12,99.0
2020-04-13,105.0
2020-04-14,204.0
2020-04-15,204.0
2020-04-16,188.0
2020-04-17,217.0
2020-04-18,206.0
2020-04-19,115.0
2020-04-20,113.0
2020-04-21,166.0
2020-04-22,165.0
2020-04-23,407.0
2020-04-24,357.0
2020-04-25,346.0
2020-04-26,189.0
2020-04-27,338.0
2020-04-28,474.0
2020-04-29,449.0
2020-04-30,435.0
2020-05-01,428.0
2020-05-02,395.0
2020-05-03,301.0
2020-05-04,296.0
2020-05-05,600.0
2020-05-06,614.0
2020-05-07,611.0
2020-05-08,749.0
2020-05-09,732.0
2020-05-10,496.0
2020-05-11,396.0
2020-05-12,881.0
2020-05-13,749.0
2020-05-14,844.0
2020-05-15,824.0
2020-05-16,816.0
2020-05-17,485.0
2020-05-18,674.0
2020-05-19,1179.0
2020-05-20,888.0
2020-05-21,1188.0
2020-05-22,999.0
2020-05-23,967.0
2020-05-24,653.0
2020-05-25,807.0
2020-05-26,1039.0
2020-05-27,1086.0
2020-05-28,1156.0
2020-05-29,1124.0
2020-05-30,956.0
2020-05-31,480.0
2020-06-01,623.0
2020-06-02,1262.0
2020-06-03,1349.0
2020-06-04,1473.0
2020-06-05,1005.0
2020-06-06,904.0
2020-06-07,525.0
2020-06-08,679.0
2020-06-09,1272.0
2020-06-10,1274.0
2020-06-11,1239.0
2020-06-12,909.0
2020-06-13,892.0
2020-06-14,612.0
2020-06-15,627.0
2020-06-16,1282.0
2020-06-17,1269.0
2020-06-18,1238.0
2020-06-19,1206.0
2020-06-20,1022.0
2020-06-21,641.0
2020-06-22,654.0
2020-06-23,1374.0
2020-06-24,1185.0
2020-06-25,1141.0
2020-06-26,990.0
2020-06-27,1109.0
2020-06-28,552.0
2020-06-29,692.0
2020-06-30,1280.0
2020-07-01,1038.0
2020-07-02,1252.0
2020-07-03,1290.0
2020-07-04,1091.0
2020-07-05,602.0
2020-07-06,620.0
2020-07-07,1254.0
2020-07-08,1223.0
2020-07-09,1220.0
2020-07-10,1214.0
2020-07-11,1071.0
2020-07-12,631.0
2020-07-13,733.0
2020-07-14,1300.0
2020-07-15,1233.0
2020-07-16,1322.0
2020-07-17,1163.0
2020-07-18,921.0
2020-07-19,716.0
2020-07-20,632.0
2020-07-21,1367.0
2020-07-22,1284.0
