Data,NEPIRSCA22009
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,0.0
2020-04-07,0.0
2020-04-08,0.0
2020-04-09,0.0
2020-04-10,0.0
2020-04-11,0.0
2020-04-12,0.0
2020-04-13,0.0
2020-04-14,0.0
2020-04-15,0.0
2020-04-16,1.0
2020-04-17,1.0
2020-04-18,2.0
2020-04-19,3.0
2020-04-20,3.0
2020-04-21,4.0
2020-04-22,4.0
2020-04-23,4.0
2020-04-24,4.0
2020-04-25,4.0
2020-04-26,8.0
2020-04-27,8.0
2020-04-28,15.0
2020-04-29,26.0
2020-04-30,27.0
2020-05-01,32.0
2020-05-02,33.0
2020-05-03,34.0
2020-05-04,36.0
2020-05-05,40.0
2020-05-06,41.0
2020-05-07,47.0
2020-05-08,53.0
2020-05-09,66.0
2020-05-10,75.0
2020-05-11,79.0
2020-05-12,88.0
2020-05-13,103.0
2020-05-14,110.0
2020-05-15,122.0
2020-05-16,138.0
2020-05-17,149.0
2020-05-18,153.0
2020-05-19,164.0
2020-05-20,188.0
2020-05-21,193.0
2020-05-22,214.0
2020-05-23,226.0
2020-05-24,228.0
2020-05-25,247.0
2020-05-26,258.0
2020-05-27,274.0
2020-05-28,280.0
2020-05-29,299.0
2020-05-30,313.0
2020-05-31,322.0
2020-06-01,326.0
2020-06-02,332.0
2020-06-03,358.0
2020-06-04,364.0
2020-06-05,387.0
2020-06-06,404.0
2020-06-07,443.0
2020-06-08,449.0
2020-06-09,464.0
2020-06-10,507.0
2020-06-11,553.0
2020-06-12,569.0
2020-06-13,591.0
2020-06-14,616.0
2020-06-15,622.0
2020-06-16,660.0
2020-06-17,694.0
2020-06-18,724.0
2020-06-19,738.0
2020-06-20,835.0
2020-06-21,858.0
2020-06-22,910.0
2020-06-23,930.0
2020-06-24,980.0
2020-06-25,1035.0
2020-06-26,1095.0
2020-06-27,1128.0
2020-06-28,1187.0
2020-06-29,1227.0
2020-06-30,1265.0
2020-07-01,1394.0
2020-07-02,1438.0
2020-07-03,1475.0
2020-07-04,1525.0
2020-07-05,1557.0
2020-07-06,1574.0
2020-07-07,1618.0
