Data,NORORSOA11005
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,0.0
2020-04-07,0.0
2020-04-08,0.0
2020-04-09,0.0
2020-04-10,0.0
2020-04-11,0.0
2020-04-12,0.0
2020-04-13,0.0
2020-04-14,0.0
2020-04-15,0.0
2020-04-16,0.0
2020-04-17,0.0
2020-04-18,0.0
2020-04-19,0.0
2020-04-20,0.0
2020-04-21,0.0
2020-04-22,0.0
2020-04-23,0.0
2020-04-24,0.0
2020-04-25,0.0
2020-04-26,0.0
2020-04-27,1.0
2020-04-28,1.0
2020-04-29,1.0
2020-04-30,1.0
2020-05-01,1.0
2020-05-02,1.0
2020-05-03,1.0
2020-05-04,1.0
2020-05-05,1.0
2020-05-06,1.0
2020-05-07,1.0
2020-05-08,1.0
2020-05-09,1.0
2020-05-10,1.0
2020-05-11,1.0
2020-05-12,1.0
2020-05-13,1.0
2020-05-14,1.0
2020-05-15,1.0
2020-05-16,1.0
2020-05-17,1.0
2020-05-18,1.0
2020-05-19,1.0
2020-05-20,1.0
2020-05-21,1.0
2020-05-22,1.0
2020-05-23,1.0
2020-05-24,2.0
2020-05-25,2.0
2020-05-26,2.0
2020-05-27,2.0
2020-05-28,2.0
2020-05-29,2.0
2020-05-30,2.0
2020-05-31,2.0
2020-06-01,2.0
2020-06-02,2.0
2020-06-03,2.0
2020-06-04,2.0
2020-06-05,2.0
2020-06-06,2.0
2020-06-07,3.0
2020-06-08,3.0
2020-06-09,3.0
2020-06-10,3.0
2020-06-11,3.0
2020-06-12,3.0
2020-06-13,4.0
2020-06-14,4.0
2020-06-15,4.0
2020-06-16,4.0
2020-06-17,4.0
2020-06-18,4.0
2020-06-19,4.0
2020-06-20,4.0
2020-06-21,4.0
2020-06-22,4.0
2020-06-23,4.0
2020-06-24,4.0
2020-06-25,4.0
2020-06-26,4.0
2020-06-27,4.0
2020-06-28,4.0
2020-06-29,4.0
2020-06-30,5.0
2020-07-01,5.0
2020-07-02,5.0
2020-07-03,5.0
2020-07-04,5.0
2020-07-05,5.0
2020-07-06,5.0
2020-07-07,6.0
2020-07-08,6.0
2020-07-09,8.0
2020-07-10,8.0
2020-07-11,8.0
2020-07-12,8.0
2020-07-13,10.0
2020-07-14,10.0
2020-07-15,11.0
2020-07-16,12.0
2020-07-17,12.0
2020-07-18,12.0
2020-07-19,12.0
2020-07-20,13.0
2020-07-21,13.0
2020-07-22,13.0
2020-07-23,14.0
2020-07-24,16.0
2020-07-25,16.0
2020-07-26,16.0
2020-07-27,16.0
2020-07-28,16.0
2020-07-29,17.0
2020-07-30,17.0
2020-07-31,19.0
2020-08-01,20.0
2020-08-02,21.0
2020-08-03,21.0
2020-08-04,20.0
2020-08-05,21.0
2020-08-06,20.0
2020-08-07,20.0
2020-08-08,20.0
2020-08-09,20.0
2020-08-10,20.0
