Data,CNRiJ_An
2020-03-05,0
2020-03-06,0
2020-03-07,1
2020-03-08,1
2020-03-09,0
2020-03-10,5
2020-03-11,5
2020-03-12,3
2020-03-13,0
2020-03-14,6
2020-03-15,2
2020-03-16,7
2020-03-17,2
2020-03-18,12
2020-03-19,20
2020-03-20,44
2020-03-21,10
2020-03-22,67
2020-03-23,47
2020-03-24,72
2020-03-25,65
2020-03-26,51
2020-03-27,72
2020-03-28,65
2020-03-29,42
2020-03-30,57
2020-03-31,51
2020-04-01,124
2020-04-02,160
2020-04-03,82
2020-04-04,172
2020-04-05,148
2020-04-06,67
2020-04-07,227
2020-04-08,250
2020-04-09,278
2020-04-10,248
2020-04-11,143
2020-04-12,248
2020-04-13,376
2020-04-14,179
2020-04-15,333
2020-04-16,201
2020-04-17,405
2020-04-18,194
2020-04-19,222
2020-04-20,134
2020-04-21,407
2020-04-22,246
2020-04-23,620
2020-04-24,110
2020-04-25,546
2020-04-26,283
2020-04-27,833
2020-04-28,560
2020-04-29,365
2020-04-30,584
2020-05-01,713
2020-05-02,380
2020-05-03,593
2020-05-04,582
2020-05-05,670
2020-05-06,904
2020-05-07,861
2020-05-08,1585
2020-05-09,1188
2020-05-10,133
2020-05-11,877
2020-05-12,547
2020-05-13,242
2020-05-14,739
2020-05-15,520
2020-05-16,1614
2020-05-17,637
2020-05-18,4427
2020-05-19,1140
2020-05-20,2567
2020-05-21,1717
2020-05-22,1500
2020-05-23,944
2020-05-24,3379
2020-05-25,1386
2020-05-26,726
2020-05-27,2374
2020-05-28,2488
2020-05-29,3067
