Data,CNMiT_An
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,0.0
2020-03-16,0.0
2020-03-17,0.0
2020-03-18,0.0
2020-03-19,0.0
2020-03-20,1.0
2020-03-21,1.0
2020-03-22,0.0
2020-03-23,0.0
2020-03-24,5.0
2020-03-25,1.0
2020-03-26,3.0
2020-03-27,0.0
2020-03-28,2.0
2020-03-29,3.0
2020-03-30,2.0
2020-03-31,7.0
2020-04-01,2.0
2020-04-02,9.0
2020-04-03,8.0
2020-04-04,12.0
2020-04-05,4.0
2020-04-06,16.0
2020-04-07,2.0
2020-04-08,12.0
2020-04-09,18.0
2020-04-10,4.0
2020-04-11,9.0
2020-04-12,2.0
2020-04-13,11.0
2020-04-14,4.0
2020-04-15,13.0
2020-04-16,5.0
2020-04-17,6.0
2020-04-18,9.0
2020-04-19,3.0
2020-04-20,7.0
2020-04-21,0.0
2020-04-22,2.0
2020-04-23,38.0
2020-04-24,19.0
2020-04-25,7.0
2020-04-26,3.0
2020-04-27,7.0
2020-04-28,4.0
2020-04-29,31.0
2020-04-30,5.0
2020-05-01,23.0
2020-05-02,11.0
2020-05-03,6.0
2020-05-04,7.0
2020-05-05,21.0
2020-05-06,14.0
2020-05-07,38.0
2020-05-08,40.0
2020-05-09,45.0
2020-05-10,17.0
2020-05-11,22.0
2020-05-12,50.0
2020-05-13,70.0
2020-05-14,58.0
2020-05-15,60.0
2020-05-16,72.0
2020-05-17,50.0
2020-05-18,36.0
2020-05-19,58.0
2020-05-20,59.0
2020-05-21,118.0
2020-05-22,48.0
2020-05-23,132.0
2020-05-24,110.0
2020-05-25,38.0
2020-05-26,128.0
2020-05-27,211.0
2020-05-28,112.0
2020-05-29,152.0
2020-05-30,258.0
2020-05-31,68.0
2020-06-01,112.0
2020-06-02,168.0
2020-06-03,139.0
2020-06-04,346.0
2020-06-05,287.0
2020-06-06,181.0
2020-06-07,216.0
2020-06-08,222.0
2020-06-09,239.0
2020-06-10,263.0
2020-06-11,490.0
2020-06-12,271.0
2020-06-13,161.0
2020-06-14,337.0
2020-06-15,324.0
2020-06-16,203.0
2020-06-17,736.0
2020-06-18,388.0
2020-06-19,841.0
2020-06-20,609.0
2020-06-21,508.0
2020-06-22,551.0
2020-06-23,638.0
2020-06-24,784.0
2020-06-25,714.0
2020-06-26,869.0
2020-06-27,779.0
2020-06-28,882.0
2020-06-29,399.0
2020-06-30,550.0
2020-07-01,985.0
2020-07-02,1106.0
2020-07-03,1127.0
2020-07-04,1244.0
2020-07-05,793.0
2020-07-06,605.0
2020-07-07,910.0
2020-07-08,1429.0
2020-07-09,1429.0
2020-07-10,1132.0
2020-07-11,1240.0
2020-07-12,775.0
2020-07-13,381.0
2020-07-14,487.0
2020-07-15,1040.0
2020-07-16,792.0
2020-07-17,1860.0
2020-07-18,-264.0
2020-07-19,1429.0
2020-07-20,1503.0
2020-07-21,1438.0
2020-07-22,1695.0
2020-07-23,1983.0
2020-07-24,1451.0
2020-07-25,729.0
2020-07-26,396.0
2020-07-27,1507.0
2020-07-28,1707.0
2020-07-29,1772.0
2020-07-30,2130.0
2020-07-31,1418.0
2020-08-01,925.0
2020-08-02,573.0
2020-08-03,1348.0
2020-08-04,1458.0
2020-08-05,2337.0
2020-08-06,1335.0
2020-08-07,2944.0
2020-08-08,41.0
2020-08-09,590.0
2020-08-10,1782.0
2020-08-11,1863.0
2020-08-12,1863.0
2020-08-13,1734.0
2020-08-14,1611.0
2020-08-15,492.0
2020-08-16,508.0
2020-08-17,1240.0
2020-08-18,1368.0
2020-08-19,1399.0
