Data,GDM
2020-02-15,1
2020-02-16,2
2020-02-17,1
2020-02-18,2
2020-02-19,1
2020-02-20,1
2020-02-21,1
2020-02-22,1
2020-02-23,1
2020-02-24,8
2020-02-25,8
2020-02-26,6
2020-02-27,2
2020-02-28,3
2020-02-29,5
2020-03-01,6
2020-03-02,1
2020-03-03,1
2020-03-04,1
2020-03-05,1
2020-03-06,0
2020-03-07,3
2020-03-08,3
2020-03-09,1
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,2
2020-03-14,2
2020-03-15,4
2020-03-16,2
2020-03-17,4
2020-03-18,7
2020-03-19,9
2020-03-20,13
2020-03-21,15
2020-03-22,16
2020-03-23,21
2020-03-24,22
2020-03-25,23
2020-03-26,22
2020-03-27,25
2020-03-28,21
2020-03-29,18
2020-03-30,22
2020-03-31,20
2020-04-01,20
2020-04-02,20
2020-04-03,22
2020-04-04,19
2020-04-05,17
2020-04-06,20
2020-04-07,18
2020-04-08,18
2020-04-09,18
2020-04-10,25
2020-04-11,18
2020-04-12,14
2020-04-13,20
2020-04-14,20
2020-04-15,20
2020-04-16,20
2020-04-17,23
2020-04-18,18
2020-04-19,16
2020-04-20,19
2020-04-21,24
2020-04-22,18
2020-04-23,19
2020-04-24,21
2020-04-25,18
2020-04-26,16
2020-04-27,20
2020-04-28,17
2020-04-29,19
2020-04-30,18
2020-05-01,25
2020-05-02,18
2020-05-03,16
2020-05-04,19
2020-05-05,19
2020-05-06,19
2020-05-07,19
2020-05-08,20
2020-05-09,17
2020-05-10,12
2020-05-11,20
2020-05-12,19
2020-05-13,20
2020-05-14,18
2020-05-15,26
2020-05-16,21
2020-05-17,19
2020-05-18,20
2020-05-19,20
2020-05-20,20
2020-05-21,20
2020-05-22,23
2020-05-23,19
2020-05-24,17
2020-05-25,20
2020-05-26,19
2020-05-27,20
2020-05-28,19
2020-05-29,22
2020-05-30,17
2020-05-31,16
2020-06-01,18
2020-06-02,18
2020-06-03,19
2020-06-04,19
2020-06-05,20
2020-06-06,17
2020-06-07,15
2020-06-08,18
2020-06-09,18
2020-06-10,18
2020-06-11,21
2020-06-12,19
2020-06-13,17
2020-06-14,16
2020-06-15,19
2020-06-16,19
2020-06-17,19
2020-06-18,19
2020-06-19,20
2020-06-20,17
2020-06-21,17
2020-06-22,19
2020-06-23,19
2020-06-24,19
2020-06-25,19
2020-06-26,20
2020-06-27,19
