Data,NESERSOA28001
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,2.0
2020-04-03,2.0
2020-04-04,2.0
2020-04-05,3.0
2020-04-06,4.0
2020-04-07,4.0
2020-04-08,4.0
2020-04-09,4.0
2020-04-10,4.0
2020-04-11,4.0
2020-04-12,4.0
2020-04-13,4.0
2020-04-14,4.0
2020-04-15,4.0
2020-04-16,4.0
2020-04-17,4.0
2020-04-18,4.0
2020-04-19,4.0
2020-04-20,4.0
2020-04-21,4.0
2020-04-22,5.0
2020-04-23,6.0
2020-04-24,6.0
2020-04-25,7.0
2020-04-26,7.0
2020-04-27,7.0
2020-04-28,8.0
2020-04-29,8.0
2020-04-30,8.0
2020-05-01,8.0
2020-05-02,8.0
2020-05-03,8.0
2020-05-04,9.0
2020-05-05,9.0
2020-05-06,11.0
2020-05-07,12.0
2020-05-08,13.0
2020-05-09,15.0
2020-05-10,15.0
2020-05-11,15.0
2020-05-12,15.0
2020-05-13,17.0
2020-05-14,20.0
2020-05-15,21.0
2020-05-16,23.0
2020-05-17,27.0
2020-05-18,28.0
2020-05-19,31.0
2020-05-20,34.0
2020-05-21,39.0
2020-05-22,44.0
2020-05-23,47.0
2020-05-24,52.0
2020-05-25,56.0
2020-05-26,65.0
2020-05-27,68.0
2020-05-28,70.0
2020-05-29,76.0
2020-05-30,79.0
2020-05-31,84.0
2020-06-01,88.0
2020-06-02,92.0
2020-06-03,97.0
2020-06-04,99.0
2020-06-05,106.0
2020-06-06,111.0
2020-06-07,116.0
2020-06-08,127.0
2020-06-09,134.0
2020-06-10,142.0
