Data,NEMARSOA21004
2020-05-04,0.0
2020-05-05,0.0
2020-05-06,0.0
2020-05-07,0.0
2020-05-08,0.0
2020-05-09,1.0
2020-05-10,1.0
2020-05-11,1.0
2020-05-12,1.0
2020-05-13,1.0
2020-05-14,1.0
2020-05-15,1.0
2020-05-16,1.0
2020-05-17,1.0
2020-05-18,3.0
2020-05-19,3.0
2020-05-20,3.0
2020-05-21,7.0
2020-05-22,7.0
2020-05-23,7.0
2020-05-24,7.0
2020-05-25,10.0
2020-05-26,10.0
2020-05-27,10.0
2020-05-28,12.0
2020-05-29,12.0
2020-05-30,13.0
2020-05-31,13.0
2020-06-01,13.0
2020-06-02,14.0
2020-06-03,14.0
2020-06-04,17.0
2020-06-05,17.0
2020-06-06,17.0
2020-06-07,18.0
2020-06-08,19.0
2020-06-09,19.0
2020-06-10,20.0
