Data,SEESRSOA32002
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,1.0
2020-04-03,4.0
2020-04-04,5.0
2020-04-05,4.0
2020-04-06,5.0
2020-04-07,5.0
2020-04-08,5.0
2020-04-09,5.0
2020-04-10,5.0
2020-04-11,7.0
2020-04-12,7.0
2020-04-13,12.0
2020-04-14,15.0
2020-04-15,16.0
2020-04-16,23.0
2020-04-17,25.0
2020-04-18,27.0
2020-04-19,29.0
2020-04-20,30.0
2020-04-21,30.0
2020-04-22,33.0
2020-04-23,39.0
2020-04-24,44.0
2020-04-25,47.0
2020-04-26,52.0
2020-04-27,57.0
2020-04-28,72.0
2020-04-29,78.0
2020-04-30,86.0
2020-05-01,92.0
2020-05-02,95.0
2020-05-03,106.0
2020-05-04,114.0
2020-05-05,121.0
2020-05-06,131.0
2020-05-07,141.0
2020-05-08,149.0
2020-05-09,154.0
2020-05-10,162.0
2020-05-11,176.0
2020-05-12,190.0
2020-05-13,209.0
2020-05-14,225.0
2020-05-15,231.0
2020-05-16,237.0
2020-05-17,246.0
2020-05-18,260.0
2020-05-19,281.0
2020-05-20,294.0
2020-05-21,310.0
2020-05-22,335.0
2020-05-23,351.0
2020-05-24,375.0
2020-05-25,389.0
2020-05-26,406.0
2020-05-27,426.0
2020-05-28,447.0
2020-05-29,461.0
2020-05-30,478.0
2020-05-31,494.0
2020-06-01,503.0
2020-06-02,544.0
2020-06-03,572.0
2020-06-04,601.0
2020-06-05,637.0
2020-06-06,659.0
2020-06-07,678.0
2020-06-08,705.0
2020-06-09,728.0
2020-06-10,749.0
2020-06-11,765.0
2020-06-12,782.0
2020-06-13,807.0
2020-06-14,830.0
2020-06-15,852.0
2020-06-16,886.0
2020-06-17,916.0
2020-06-18,954.0
2020-06-19,982.0
2020-06-20,1003.0
2020-06-21,1020.0
2020-06-22,1045.0
2020-06-23,1084.0
2020-06-24,1105.0
2020-06-25,1119.0
2020-06-26,1131.0
2020-06-27,1131.0
2020-06-28,1177.0
2020-06-29,1218.0
2020-06-30,1223.0
2020-07-01,1244.0
2020-07-02,1263.0
2020-07-03,1283.0
2020-07-04,1298.0
2020-07-05,1313.0
2020-07-06,1336.0
2020-07-07,1364.0
2020-07-08,1382.0
2020-07-09,1394.0
2020-07-10,1415.0
2020-07-11,1427.0
2020-07-12,1439.0
2020-07-13,1457.0
2020-07-14,1474.0
2020-07-15,1483.0
2020-07-16,1503.0
2020-07-17,1527.0
2020-07-18,1544.0
2020-07-19,1557.0
2020-07-20,1576.0
2020-07-21,1590.0
2020-07-22,1608.0
2020-07-23,1630.0
2020-07-24,1650.0
2020-07-25,1657.0
2020-07-26,1668.0
2020-07-27,1683.0
2020-07-28,1697.0
2020-07-29,1709.0
2020-07-30,1721.0
2020-07-31,1740.0
2020-08-01,1753.0
2020-08-02,1760.0
2020-08-03,1773.0
2020-08-04,1783.0
2020-08-05,1795.0
2020-08-06,1810.0
2020-08-07,1826.0
2020-08-08,1840.0
2020-08-09,1845.0
2020-08-10,1863.0
