Data,CNSiC_An
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,2.0
2020-03-14,2.0
2020-03-15,2.0
2020-03-16,1.0
2020-03-17,0.0
2020-03-18,3.0
2020-03-19,10.0
2020-03-20,1.0
2020-03-21,30.0
2020-03-22,6.0
2020-03-23,11.0
2020-03-24,39.0
2020-03-25,2.0
2020-03-26,13.0
2020-03-27,27.0
2020-03-28,35.0
2020-03-29,10.0
2020-03-30,3.0
2020-03-31,22.0
2020-04-01,16.0
2020-04-02,12.0
2020-04-03,34.0
2020-04-04,53.0
2020-04-05,23.0
2020-04-06,22.0
2020-04-07,38.0
2020-04-08,40.0
2020-04-09,44.0
2020-04-10,192.0
2020-04-11,39.0
2020-04-12,36.0
2020-04-13,9.0
2020-04-14,49.0
2020-04-15,27.0
2020-04-16,31.0
2020-04-17,42.0
2020-04-18,36.0
2020-04-19,13.0
2020-04-20,50.0
2020-04-21,38.0
2020-04-22,28.0
2020-04-23,24.0
2020-04-24,55.0
2020-04-25,39.0
2020-04-26,26.0
2020-04-27,102.0
2020-04-28,139.0
2020-04-29,519.0
2020-04-30,90.0
2020-05-01,19.0
2020-05-02,242.0
2020-05-03,0.0
2020-05-04,173.0
2020-05-05,104.0
2020-05-06,294.0
2020-05-07,165.0
2020-05-08,123.0
2020-05-09,167.0
2020-05-10,57.0
2020-05-11,100.0
2020-05-12,204.0
2020-05-13,95.0
2020-05-14,504.0
2020-05-15,230.0
2020-05-16,116.0
2020-05-17,98.0
2020-05-18,399.0
2020-05-19,238.0
2020-05-20,86.0
2020-05-21,111.0
2020-05-22,848.0
2020-05-23,149.0
2020-05-24,89.0
2020-05-25,179.0
2020-05-26,141.0
2020-05-27,356.0
2020-05-28,628.0
2020-05-29,530.0
2020-05-30,248.0
2020-05-31,259.0
2020-06-01,461.0
2020-06-02,162.0
2020-06-03,374.0
2020-06-04,498.0
2020-06-05,314.0
2020-06-06,439.0
2020-06-07,280.0
2020-06-08,0.0
2020-06-09,627.0
2020-06-10,402.0
2020-06-11,359.0
2020-06-12,212.0
2020-06-13,131.0
2020-06-14,64.0
2020-06-15,600.0
2020-06-16,442.0
2020-06-17,613.0
2020-06-18,558.0
2020-06-19,749.0
2020-06-20,786.0
2020-06-21,474.0
2020-06-22,355.0
2020-06-23,1307.0
2020-06-24,1677.0
2020-06-25,1030.0
2020-06-26,996.0
2020-06-27,861.0
2020-06-28,556.0
2020-06-29,692.0
2020-06-30,1298.0
2020-07-01,925.0
2020-07-02,1296.0
2020-07-03,1686.0
2020-07-04,1670.0
2020-07-05,1038.0
2020-07-06,853.0
2020-07-07,1520.0
2020-07-08,1468.0
2020-07-09,1598.0
2020-07-10,1698.0
2020-07-11,1920.0
2020-07-12,1005.0
2020-07-13,784.0
2020-07-14,2235.0
2020-07-15,1926.0
2020-07-16,1805.0
2020-07-17,1768.0
2020-07-18,982.0
2020-07-19,805.0
2020-07-20,1078.0
2020-07-21,2061.0
2020-07-22,3081.0
