Data,CASiP_An
2020-05-30,76
2020-05-30,39
2020-05-30,3
2020-05-30,21
2020-05-30,1
2020-05-30,15
2020-05-30,1
2020-05-30,2
2020-05-30,23
2020-05-30,4
2020-05-30,2
2020-05-30,1
2020-05-30,3
2020-05-30,1
2020-05-30,13
2020-05-30,1
2020-05-30,10
2020-05-30,1
2020-05-30,118
2020-05-30,40
2020-05-30,4
2020-05-30,37
2020-05-30,41
2020-05-30,22
2020-05-30,2
2020-05-30,2
2020-05-30,5
2020-05-30,2
2020-05-30,13
2020-05-30,161
2020-05-30,40
2020-05-30,10
2020-05-30,232
2020-05-30,106
2020-05-30,1
2020-05-30,10
2020-05-30,2
2020-05-30,22
2020-05-30,248
2020-05-30,56
2020-05-30,83
2020-05-30,3
2020-05-30,2
2020-05-30,1
2020-05-30,56
2020-05-30,29
2020-05-30,2
2020-05-30,3
2020-05-30,1
2020-05-30,10
2020-05-30,28
2020-05-30,9
2020-05-30,216
2020-05-30,14
2020-05-30,1159
2020-05-30,1
2020-05-30,13
2020-05-30,291
2020-05-30,19
2020-05-30,59
2020-05-30,1
2020-05-30,56
2020-05-30,34
2020-05-30,12
2020-05-30,9
2020-05-30,5
2020-05-30,63
2020-05-30,19
2020-05-30,4
2020-05-30,10
2020-05-30,3
2020-05-30,276
2020-05-30,235
2020-05-30,1
2020-05-30,21
2020-05-30,4
2020-05-30,5
2020-05-30,16
2020-05-30,1
2020-05-30,52
2020-05-30,48
2020-05-30,8
2020-05-30,1
2020-05-30,2
2020-05-30,296
2020-05-30,257
2020-05-30,19
2020-05-30,5
2020-05-30,5
2020-05-30,5
2020-05-30,1733
2020-05-30,71
2020-05-30,33
2020-05-30,1
2020-05-30,15
2020-05-30,1
2020-05-30,5
2020-05-30,3
2020-05-30,18
2020-05-30,34
2020-05-30,3
2020-05-30,159
2020-05-30,1016
2020-05-30,2
2020-05-30,3
2020-05-30,2
2020-05-30,5
2020-05-30,111
2020-05-30,2
2020-05-30,3
