Data,NOPARSOA15006
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,2.0
2020-04-07,3.0
2020-04-08,4.0
2020-04-09,5.0
2020-04-10,7.0
2020-04-11,8.0
2020-04-12,10.0
2020-04-13,12.0
2020-04-14,15.0
2020-04-15,16.0
2020-04-16,19.0
2020-04-17,21.0
2020-04-18,24.0
2020-04-19,24.0
2020-04-20,25.0
2020-04-21,26.0
2020-04-22,28.0
2020-04-23,35.0
2020-04-24,52.0
2020-04-25,69.0
2020-04-26,70.0
2020-04-27,77.0
2020-04-28,80.0
2020-04-29,87.0
2020-04-30,143.0
2020-05-01,162.0
2020-05-02,177.0
2020-05-03,202.0
2020-05-04,207.0
2020-05-05,224.0
2020-05-06,239.0
2020-05-07,248.0
2020-05-08,319.0
2020-05-09,348.0
2020-05-10,403.0
2020-05-11,435.0
2020-05-12,552.0
2020-05-13,604.0
2020-05-14,695.0
2020-05-15,736.0
2020-05-16,773.0
2020-05-17,800.0
2020-05-18,816.0
2020-05-19,918.0
2020-05-20,988.0
2020-05-21,1152.0
2020-05-22,1192.0
2020-05-23,1215.0
2020-05-24,1279.0
2020-05-25,1401.0
2020-05-26,1450.0
2020-05-27,1464.0
2020-05-28,1548.0
2020-05-29,1600.0
2020-05-30,1642.0
2020-05-31,1645.0
2020-06-01,1645.0
2020-06-02,1672.0
2020-06-03,1731.0
2020-06-04,1885.0
2020-06-05,1936.0
2020-06-06,1950.0
2020-06-07,1973.0
2020-06-08,2001.0
2020-06-09,2028.0
2020-06-10,2042.0
2020-06-11,2073.0
2020-06-12,2115.0
2020-06-13,2131.0
2020-06-14,2134.0
2020-06-15,2141.0
2020-06-16,2161.0
2020-06-17,2193.0
2020-06-18,2205.0
2020-06-19,2227.0
2020-06-20,2241.0
