Data,OAAiLMirici
2020-04-19,0
2020-04-20,0
2020-04-21,0
2020-04-22,0
2020-04-23,0
2020-04-24,0
2020-04-25,0
2020-04-26,0
2020-04-27,0
2020-04-28,0
2020-04-29,1
2020-04-30,1
2020-05-01,1
2020-05-02,1
2020-05-03,1
2020-05-04,1
2020-05-05,2
2020-05-06,2
2020-05-07,2
2020-05-08,2
2020-05-09,2
2020-05-10,2
2020-05-11,2
2020-05-12,2
2020-05-13,2
2020-05-14,2
2020-05-15,2
2020-05-16,2
2020-05-17,2
2020-05-18,2
2020-05-19,2
2020-05-20,2
2020-05-21,2
2020-05-22,2
2020-05-23,2
2020-05-24,2
2020-05-25,3
2020-05-26,3
2020-05-27,3
2020-05-28,3
2020-05-29,3
2020-05-30,4
2020-05-31,4
2020-06-01,4
2020-06-02,4
2020-06-03,4
