Data,CNRiN_An
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,5
2020-03-22,3
2020-03-23,4
2020-03-24,0
2020-03-25,1
2020-03-26,5
2020-03-27,9
2020-03-28,17
2020-03-29,23
2020-03-30,9
2020-03-31,5
2020-04-01,10
2020-04-02,13
2020-04-03,71
2020-04-04,36
2020-04-05,30
2020-04-06,4
2020-04-07,8
2020-04-08,7
2020-04-09,0
2020-04-10,2
2020-04-11,26
2020-04-12,13
2020-04-13,37
2020-04-14,37
2020-04-15,23
2020-04-16,1
2020-04-17,63
2020-04-18,53
2020-04-19,15
2020-04-20,64
2020-04-21,13
2020-04-22,38
2020-04-23,62
2020-04-24,46
2020-04-25,27
2020-04-26,44
2020-04-27,7
2020-04-28,25
2020-04-29,229
2020-04-30,91
2020-05-01,120
2020-05-02,69
2020-05-03,26
2020-05-04,29
2020-05-05,115
2020-05-06,38
2020-05-07,165
2020-05-08,82
2020-05-09,98
2020-05-10,9
2020-05-11,61
2020-05-12,44
2020-05-13,334
2020-05-14,170
2020-05-15,249
2020-05-16,218
2020-05-17,133
2020-05-18,47
2020-05-19,299
2020-05-20,313
2020-05-21,264
2020-05-22,191
2020-05-23,348
2020-05-24,98
2020-05-25,62
2020-05-26,713
2020-05-27,158
2020-05-28,0
2020-05-29,833
2020-05-30,939
