Data,COMSRSOA50002
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,0.0
2020-04-07,0.0
2020-04-08,0.0
2020-04-09,0.0
2020-04-10,0.0
2020-04-11,0.0
2020-04-12,0.0
2020-04-13,0.0
2020-04-14,0.0
2020-04-15,0.0
2020-04-16,0.0
2020-04-17,0.0
2020-04-18,0.0
2020-04-19,0.0
2020-04-20,0.0
2020-04-21,0.0
2020-04-22,0.0
2020-04-23,0.0
2020-04-24,0.0
2020-04-25,0.0
2020-04-26,0.0
2020-04-27,0.0
2020-04-28,0.0
2020-04-29,0.0
2020-04-30,0.0
2020-05-01,0.0
2020-05-02,0.0
2020-05-03,0.0
2020-05-04,0.0
2020-05-05,0.0
2020-05-06,0.0
2020-05-07,0.0
2020-05-08,0.0
2020-05-09,0.0
2020-05-10,0.0
2020-05-11,0.0
2020-05-12,0.0
2020-05-13,0.0
2020-05-14,0.0
2020-05-15,0.0
2020-05-16,0.0
2020-05-17,0.0
2020-05-18,0.0
2020-05-19,0.0
2020-05-20,0.0
2020-05-21,0.0
2020-05-22,0.0
2020-05-23,0.0
2020-05-24,0.0
2020-05-25,0.0
2020-05-26,0.0
2020-05-27,0.0
2020-05-28,0.0
2020-05-29,0.0
2020-05-30,0.0
2020-05-31,0.0
2020-06-01,0.0
2020-06-02,0.0
2020-06-03,0.0
2020-06-04,0.0
2020-06-05,0.0
2020-06-06,0.0
2020-06-07,0.0
2020-06-08,0.0
2020-06-09,0.0
2020-06-10,0.0
2020-06-11,0.0
2020-06-12,1.0
2020-06-13,1.0
2020-06-14,1.0
2020-06-15,1.0
2020-06-16,2.0
2020-06-17,2.0
2020-06-18,2.0
2020-06-19,2.0
2020-06-20,2.0
2020-06-21,3.0
2020-06-22,3.0
2020-06-23,6.0
2020-06-24,6.0
2020-06-25,6.0
2020-06-26,6.0
2020-06-27,7.0
2020-06-28,7.0
2020-06-29,9.0
2020-06-30,9.0
2020-07-01,10.0
2020-07-02,10.0
2020-07-03,11.0
2020-07-04,11.0
2020-07-05,11.0
2020-07-06,12.0
2020-07-07,12.0
2020-07-08,12.0
2020-07-09,13.0
2020-07-10,13.0
2020-07-11,13.0
2020-07-12,13.0
2020-07-13,13.0
2020-07-14,14.0
2020-07-15,14.0
2020-07-16,16.0
2020-07-17,19.0
2020-07-18,22.0
2020-07-19,23.0
2020-07-20,23.0
2020-07-21,25.0
2020-07-22,25.0
2020-07-23,26.0
2020-07-24,28.0
2020-07-25,30.0
2020-07-26,31.0
2020-07-27,32.0
2020-07-28,34.0
2020-07-29,35.0
2020-07-30,39.0
2020-07-31,40.0
2020-08-01,42.0
2020-08-02,46.0
2020-08-03,50.0
2020-08-04,52.0
2020-08-05,53.0
2020-08-06,58.0
2020-08-07,62.0
2020-08-08,64.0
2020-08-09,65.0
2020-08-10,66.0
2020-08-11,71.0
2020-08-12,74.0
2020-08-13,74.0
2020-08-14,77.0
2020-08-15,79.0
2020-08-16,80.0
2020-08-17,81.0
2020-08-18,83.0
2020-08-19,84.0
