Data,SURSRSOA43010
2020-03-27,0.0
2020-03-28,2.0
2020-03-29,2.0
2020-03-30,2.0
2020-03-31,2.0
2020-04-01,2.0
2020-04-02,3.0
2020-04-03,3.0
2020-04-04,4.0
2020-04-05,4.0
2020-04-06,4.0
2020-04-07,5.0
2020-04-08,6.0
2020-04-09,7.0
2020-04-10,7.0
2020-04-11,7.0
2020-04-12,7.0
2020-04-13,7.0
2020-04-14,9.0
2020-04-15,9.0
2020-04-16,9.0
2020-04-17,9.0
2020-04-18,10.0
2020-04-19,10.0
2020-04-20,11.0
2020-04-21,11.0
2020-04-22,11.0
2020-04-23,11.0
2020-04-24,11.0
2020-04-25,12.0
2020-04-26,13.0
2020-04-27,16.0
2020-04-28,16.0
2020-04-29,16.0
2020-04-30,16.0
2020-05-01,17.0
2020-05-02,17.0
2020-05-03,18.0
2020-05-04,18.0
2020-05-05,18.0
2020-05-06,20.0
2020-05-07,20.0
2020-05-08,20.0
2020-05-09,20.0
2020-05-10,20.0
2020-05-11,23.0
2020-05-12,23.0
2020-05-13,23.0
2020-05-14,25.0
2020-05-15,25.0
2020-05-16,25.0
2020-05-17,25.0
2020-05-18,25.0
2020-05-19,28.0
2020-05-20,31.0
2020-05-21,32.0
2020-05-22,32.0
2020-05-23,33.0
2020-05-24,34.0
2020-05-25,42.0
2020-05-26,43.0
2020-05-27,43.0
2020-05-28,46.0
2020-05-29,45.0
2020-05-30,45.0
2020-05-31,46.0
2020-06-01,48.0
2020-06-02,50.0
2020-06-03,53.0
2020-06-04,54.0
2020-06-05,58.0
2020-06-06,59.0
2020-06-07,59.0
2020-06-08,60.0
2020-06-09,63.0
2020-06-10,66.0
2020-06-11,69.0
2020-06-12,69.0
2020-06-13,70.0
2020-06-14,71.0
2020-06-15,73.0
