Data,NEPIRSCA22003
2020-03-27,0.0
2020-03-28,1.0
2020-03-29,1.0
2020-03-30,1.0
2020-03-31,1.0
2020-04-01,1.0
2020-04-02,1.0
2020-04-03,1.0
2020-04-04,1.0
2020-04-05,1.0
2020-04-06,1.0
2020-04-07,2.0
2020-04-08,5.0
2020-04-09,5.0
2020-04-10,6.0
2020-04-11,6.0
2020-04-12,6.0
2020-04-13,7.0
2020-04-14,7.0
2020-04-15,7.0
2020-04-16,7.0
2020-04-17,7.0
2020-04-18,8.0
2020-04-19,8.0
2020-04-20,9.0
2020-04-21,12.0
2020-04-22,12.0
2020-04-23,13.0
2020-04-24,17.0
2020-04-25,17.0
2020-04-26,19.0
2020-04-27,20.0
2020-04-28,21.0
2020-04-29,22.0
2020-04-30,27.0
2020-05-01,37.0
2020-05-02,44.0
2020-05-03,51.0
2020-05-04,51.0
2020-05-05,56.0
2020-05-06,61.0
2020-05-07,70.0
2020-05-08,79.0
2020-05-09,96.0
2020-05-10,96.0
2020-05-11,95.0
2020-05-12,103.0
2020-05-13,117.0
2020-05-14,131.0
2020-05-15,144.0
2020-05-16,166.0
2020-05-17,174.0
2020-05-18,180.0
2020-05-19,199.0
2020-05-20,235.0
2020-05-21,262.0
2020-05-22,305.0
2020-05-23,325.0
2020-05-24,342.0
2020-05-25,362.0
2020-05-26,392.0
2020-05-27,437.0
2020-05-28,485.0
2020-05-29,518.0
2020-05-30,537.0
2020-05-31,574.0
2020-06-01,607.0
2020-06-02,660.0
2020-06-03,700.0
2020-06-04,729.0
2020-06-05,791.0
2020-06-06,839.0
2020-06-07,882.0
2020-06-08,904.0
2020-06-09,929.0
2020-06-10,973.0
2020-06-11,1051.0
2020-06-12,1108.0
2020-06-13,1168.0
2020-06-14,1208.0
2020-06-15,1244.0
2020-06-16,1319.0
2020-06-17,1416.0
2020-06-18,1470.0
2020-06-19,1516.0
2020-06-20,1673.0
2020-06-21,1736.0
2020-06-22,1781.0
2020-06-23,1898.0
2020-06-24,2007.0
2020-06-25,2095.0
2020-06-26,2229.0
2020-06-27,2266.0
2020-06-28,2347.0
2020-06-29,2456.0
2020-06-30,2535.0
2020-07-01,2732.0
2020-07-02,2861.0
2020-07-03,3008.0
2020-07-04,3164.0
