Data,SERJRSOA33006
2020-03-27,0.0
2020-03-28,1.0
2020-03-29,1.0
2020-03-30,2.0
2020-03-31,2.0
2020-04-01,3.0
2020-04-02,3.0
2020-04-03,3.0
2020-04-04,5.0
2020-04-05,7.0
2020-04-06,8.0
2020-04-07,10.0
2020-04-08,10.0
2020-04-09,13.0
2020-04-10,16.0
2020-04-11,17.0
2020-04-12,18.0
2020-04-13,20.0
2020-04-14,25.0
2020-04-15,27.0
2020-04-16,28.0
2020-04-17,33.0
2020-04-18,34.0
2020-04-19,36.0
2020-04-20,40.0
2020-04-21,43.0
2020-04-22,46.0
2020-04-23,53.0
2020-04-24,57.0
2020-04-25,58.0
2020-04-26,62.0
2020-04-27,64.0
2020-04-28,66.0
2020-04-29,67.0
2020-04-30,74.0
2020-05-01,76.0
2020-05-02,78.0
2020-05-03,83.0
2020-05-04,84.0
2020-05-05,90.0
2020-05-06,100.0
2020-05-07,107.0
2020-05-08,115.0
2020-05-09,120.0
2020-05-10,139.0
2020-05-11,142.0
2020-05-12,148.0
2020-05-13,153.0
2020-05-14,159.0
2020-05-15,175.0
2020-05-16,195.0
2020-05-17,194.0
2020-05-18,200.0
2020-05-19,212.0
2020-05-20,217.0
2020-05-21,223.0
2020-05-22,251.0
2020-05-23,269.0
2020-05-24,277.0
2020-05-25,284.0
2020-05-26,312.0
2020-05-27,324.0
2020-05-28,355.0
2020-05-29,378.0
2020-05-30,406.0
2020-05-31,408.0
2020-06-01,412.0
2020-06-02,429.0
2020-06-03,449.0
2020-06-04,494.0
2020-06-05,504.0
2020-06-06,530.0
2020-06-07,532.0
2020-06-08,532.0
2020-06-09,554.0
2020-06-10,565.0
2020-06-11,585.0
2020-06-12,594.0
2020-06-13,607.0
2020-06-14,610.0
2020-06-15,610.0
2020-06-16,635.0
2020-06-17,656.0
2020-06-18,683.0
2020-06-19,694.0
2020-06-20,733.0
2020-06-21,739.0
2020-06-22,740.0
2020-06-23,772.0
2020-06-24,783.0
2020-06-25,796.0
2020-06-26,805.0
2020-06-27,840.0
2020-06-28,842.0
2020-06-29,843.0
2020-06-30,895.0
2020-07-01,885.0
2020-07-02,903.0
