Data,OAAiLPilieirioiniiisi
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,0
2020-04-01,0
2020-04-02,0
2020-04-03,0
2020-04-04,0
2020-04-05,0
2020-04-06,0
2020-04-07,0
2020-04-08,0
2020-04-09,0
2020-04-10,0
2020-04-11,0
2020-04-12,0
2020-04-13,0
2020-04-14,0
2020-04-15,0
2020-04-16,0
2020-04-17,0
2020-04-18,0
2020-04-19,0
2020-04-20,0
2020-04-21,0
2020-04-22,0
2020-04-23,0
2020-04-24,0
2020-04-25,0
2020-04-26,0
2020-04-27,0
2020-04-28,0
2020-04-29,0
2020-04-30,0
2020-05-01,0
2020-05-02,0
2020-05-03,0
2020-05-04,0
2020-05-05,1
2020-05-06,1
2020-05-07,2
2020-05-08,2
2020-05-09,2
2020-05-10,2
2020-05-11,2
2020-05-12,2
2020-05-13,2
2020-05-14,2
2020-05-15,2
2020-05-16,2
2020-05-17,2
2020-05-18,2
2020-05-19,2
2020-05-20,3
2020-05-21,3
2020-05-22,3
2020-05-23,3
2020-05-24,3
2020-05-25,3
2020-05-26,3
2020-05-27,3
2020-05-28,3
2020-05-29,3
2020-05-30,3
2020-05-31,3
2020-06-01,3
2020-06-02,3
2020-06-03,3
2020-06-04,3
2020-06-05,3
2020-06-06,3
2020-06-07,3
2020-06-08,3
2020-06-09,3
2020-06-10,3
2020-06-11,3
2020-06-12,3
2020-06-13,3
2020-06-14,5
2020-06-15,5
2020-06-16,6
2020-06-17,6
2020-06-18,6
2020-06-19,6
2020-06-20,6
2020-06-21,6
2020-06-22,6
2020-06-23,6
2020-06-24,6
2020-06-25,8
2020-06-26,8
2020-06-27,9
2020-06-28,9
2020-06-29,9
2020-06-30,9
