Data,NEPBRSCA25010
2020-03-27,0.0
2020-03-28,1.0
2020-03-29,1.0
2020-03-30,1.0
2020-03-31,1.0
2020-04-01,1.0
2020-04-02,1.0
2020-04-03,1.0
2020-04-04,1.0
2020-04-05,1.0
2020-04-06,1.0
2020-04-07,1.0
2020-04-08,1.0
2020-04-09,1.0
2020-04-10,1.0
2020-04-11,1.0
2020-04-12,1.0
2020-04-13,1.0
2020-04-14,1.0
2020-04-15,1.0
2020-04-16,1.0
2020-04-17,1.0
2020-04-18,1.0
2020-04-19,1.0
2020-04-20,1.0
2020-04-21,1.0
2020-04-22,1.0
2020-04-23,2.0
2020-04-24,4.0
2020-04-25,6.0
2020-04-26,7.0
2020-04-27,7.0
2020-04-28,7.0
2020-04-29,12.0
2020-04-30,15.0
2020-05-01,15.0
2020-05-02,15.0
2020-05-03,18.0
2020-05-04,18.0
2020-05-05,18.0
2020-05-06,20.0
2020-05-07,22.0
2020-05-08,25.0
2020-05-09,29.0
2020-05-10,34.0
2020-05-11,34.0
2020-05-12,45.0
2020-05-13,50.0
2020-05-14,57.0
2020-05-15,67.0
2020-05-16,67.0
2020-05-17,72.0
2020-05-18,89.0
2020-05-19,98.0
2020-05-20,111.0
2020-05-21,120.0
2020-05-22,121.0
2020-05-23,122.0
2020-05-24,123.0
2020-05-25,124.0
2020-05-26,124.0
2020-05-27,124.0
2020-05-28,177.0
2020-05-29,188.0
2020-05-30,203.0
2020-05-31,213.0
2020-06-01,216.0
2020-06-02,243.0
2020-06-03,261.0
2020-06-04,277.0
2020-06-05,289.0
2020-06-06,318.0
2020-06-07,337.0
2020-06-08,338.0
2020-06-09,352.0
2020-06-10,376.0
2020-06-11,396.0
2020-06-12,400.0
2020-06-13,404.0
2020-06-14,406.0
2020-06-15,428.0
2020-06-16,440.0
2020-06-17,448.0
2020-06-18,448.0
