Data,NORORSCA11003
2020-03-27,0.0
2020-03-28,1.0
2020-03-29,1.0
2020-03-30,1.0
2020-03-31,2.0
2020-04-01,2.0
2020-04-02,2.0
2020-04-03,2.0
2020-04-04,2.0
2020-04-05,2.0
2020-04-06,2.0
2020-04-07,2.0
2020-04-08,3.0
2020-04-09,3.0
2020-04-10,3.0
2020-04-11,3.0
2020-04-12,3.0
2020-04-13,4.0
2020-04-14,4.0
2020-04-15,9.0
2020-04-16,13.0
2020-04-17,13.0
2020-04-18,13.0
2020-04-19,13.0
2020-04-20,14.0
2020-04-21,14.0
2020-04-22,14.0
2020-04-23,10.0
2020-04-24,29.0
2020-04-25,34.0
2020-04-26,35.0
2020-04-27,36.0
2020-04-28,37.0
2020-04-29,43.0
2020-04-30,44.0
2020-05-01,63.0
2020-05-02,66.0
2020-05-03,73.0
2020-05-04,82.0
2020-05-05,87.0
2020-05-06,88.0
2020-05-07,97.0
2020-05-08,110.0
2020-05-09,107.0
2020-05-10,107.0
2020-05-11,114.0
2020-05-12,117.0
2020-05-13,124.0
2020-05-14,125.0
2020-05-15,132.0
2020-05-16,136.0
2020-05-17,137.0
2020-05-18,139.0
2020-05-19,151.0
2020-05-20,160.0
2020-05-21,172.0
2020-05-22,174.0
2020-05-23,201.0
2020-05-24,200.0
2020-05-25,205.0
2020-05-26,235.0
2020-05-27,297.0
2020-05-28,305.0
2020-05-29,369.0
2020-05-30,440.0
2020-05-31,453.0
2020-06-01,466.0
2020-06-02,491.0
2020-06-03,554.0
2020-06-04,651.0
2020-06-05,722.0
2020-06-06,832.0
2020-06-07,998.0
2020-06-08,1033.0
2020-06-09,1133.0
2020-06-10,1195.0
2020-06-11,1256.0
2020-06-12,1300.0
2020-06-13,1310.0
2020-06-14,1353.0
2020-06-15,1380.0
2020-06-16,1448.0
2020-06-17,1518.0
2020-06-18,1536.0
2020-06-19,1613.0
2020-06-20,1674.0
2020-06-21,1709.0
2020-06-22,1737.0
2020-06-23,1787.0
2020-06-24,1854.0
2020-06-25,1924.0
2020-06-26,2038.0
2020-06-27,2038.0
2020-06-28,2099.0
2020-06-29,2157.0
2020-06-30,2259.0
2020-07-01,2273.0
2020-07-02,2408.0
2020-07-03,2423.0
2020-07-04,2477.0
2020-07-05,2582.0
2020-07-06,2629.0
2020-07-07,2737.0
2020-07-08,2705.0
2020-07-09,2749.0
2020-07-10,2807.0
