Data,NOACRSCA12002
2020-03-27,0.0
2020-03-28,25.0
2020-03-29,34.0
2020-03-30,42.0
2020-03-31,42.0
2020-04-01,43.0
2020-04-02,43.0
2020-04-03,46.0
2020-04-04,46.0
2020-04-05,48.0
2020-04-06,50.0
2020-04-07,50.0
2020-04-08,54.0
2020-04-09,62.0
2020-04-10,70.0
2020-04-11,72.0
2020-04-12,77.0
2020-04-13,88.0
2020-04-14,97.0
2020-04-15,99.0
2020-04-16,108.0
2020-04-17,133.0
2020-04-18,140.0
2020-04-19,158.0
2020-04-20,171.0
2020-04-21,190.0
2020-04-22,209.0
2020-04-23,222.0
2020-04-24,229.0
2020-04-25,253.0
2020-04-26,274.0
2020-04-27,296.0
2020-04-28,306.0
2020-04-29,345.0
2020-04-30,389.0
2020-05-01,462.0
2020-05-02,529.0
2020-05-03,632.0
2020-05-04,707.0
2020-05-05,774.0
2020-05-06,896.0
2020-05-07,964.0
2020-05-08,1104.0
2020-05-09,1254.0
2020-05-10,1337.0
2020-05-11,1344.0
2020-05-12,1455.0
2020-05-13,1516.0
2020-05-14,1538.0
2020-05-15,1558.0
2020-05-16,1580.0
2020-05-17,1701.0
2020-05-18,1931.0
2020-05-19,2128.0
2020-05-20,2358.0
2020-05-21,2559.0
2020-05-22,2679.0
2020-05-23,3145.0
2020-05-24,3426.0
2020-05-25,3754.0
2020-05-26,4005.0
2020-05-27,4346.0
2020-05-28,4527.0
2020-05-29,4712.0
2020-05-30,4876.0
2020-05-31,4982.0
2020-06-01,5068.0
2020-06-02,5159.0
2020-06-03,5221.0
2020-06-04,5408.0
2020-06-05,5522.0
2020-06-06,5583.0
2020-06-07,5652.0
2020-06-08,5754.0
2020-06-09,5901.0
2020-06-10,5938.0
2020-06-11,6211.0
2020-06-12,6361.0
2020-06-13,6545.0
2020-06-14,6601.0
2020-06-15,6715.0
2020-06-16,6899.0
2020-06-17,7118.0
2020-06-18,7250.0
2020-06-19,7447.0
2020-06-20,7628.0
2020-06-21,7739.0
2020-06-22,7841.0
2020-06-23,8017.0
2020-06-24,8120.0
2020-06-25,8334.0
2020-06-26,8518.0
2020-06-27,8736.0
2020-06-28,8855.0
2020-06-29,8896.0
2020-06-30,8992.0
2020-07-01,9226.0
2020-07-02,9413.0
2020-07-03,9475.0
2020-07-04,9671.0
2020-07-05,9779.0
2020-07-06,9830.0
2020-07-07,9940.0
2020-07-08,10134.0
