Data,NEPIRSCA22005
2020-03-28,1.0
2020-03-29,1.0
2020-03-30,1.0
2020-03-31,1.0
2020-04-01,1.0
2020-04-02,1.0
2020-04-03,1.0
2020-04-04,1.0
2020-04-05,1.0
2020-04-06,1.0
2020-04-07,1.0
2020-04-08,1.0
2020-04-09,1.0
2020-04-10,1.0
2020-04-11,1.0
2020-04-12,1.0
2020-04-13,1.0
2020-04-14,1.0
2020-04-15,1.0
2020-04-16,1.0
2020-04-17,1.0
2020-04-18,9.0
2020-04-19,9.0
2020-04-20,9.0
2020-04-21,9.0
2020-04-22,13.0
2020-04-23,13.0
2020-04-24,13.0
2020-04-25,18.0
2020-04-26,19.0
2020-04-27,25.0
2020-04-28,25.0
2020-04-29,30.0
2020-04-30,32.0
2020-05-01,32.0
2020-05-02,32.0
2020-05-03,34.0
2020-05-04,49.0
2020-05-05,50.0
2020-05-06,56.0
2020-05-07,64.0
2020-05-08,73.0
2020-05-09,82.0
2020-05-10,85.0
2020-05-11,87.0
2020-05-12,93.0
2020-05-13,100.0
2020-05-14,108.0
2020-05-15,117.0
2020-05-16,124.0
2020-05-17,134.0
2020-05-18,138.0
2020-05-19,145.0
2020-05-20,180.0
2020-05-21,195.0
2020-05-22,231.0
2020-05-23,258.0
2020-05-24,271.0
2020-05-25,284.0
2020-05-26,314.0
2020-05-27,358.0
2020-05-28,423.0
2020-05-29,476.0
2020-05-30,546.0
2020-05-31,549.0
2020-06-01,592.0
2020-06-02,671.0
2020-06-03,743.0
2020-06-04,760.0
2020-06-05,889.0
2020-06-06,950.0
2020-06-07,1062.0
2020-06-08,1082.0
2020-06-09,1140.0
