Data,NOPARSCA15002
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,1.0
2020-04-02,3.0
2020-04-03,4.0
2020-04-04,5.0
2020-04-05,5.0
2020-04-06,5.0
2020-04-07,10.0
2020-04-08,10.0
2020-04-09,10.0
2020-04-10,10.0
2020-04-11,13.0
2020-04-12,13.0
2020-04-13,13.0
2020-04-14,13.0
2020-04-15,14.0
2020-04-16,15.0
2020-04-17,26.0
2020-04-18,27.0
2020-04-19,34.0
2020-04-20,36.0
2020-04-21,34.0
2020-04-22,42.0
2020-04-23,50.0
2020-04-24,50.0
2020-04-25,51.0
2020-04-26,57.0
2020-04-27,64.0
2020-04-28,64.0
2020-04-29,66.0
2020-04-30,96.0
2020-05-01,102.0
2020-05-02,102.0
2020-05-03,118.0
2020-05-04,131.0
2020-05-05,131.0
2020-05-06,134.0
2020-05-07,150.0
2020-05-08,166.0
2020-05-09,168.0
2020-05-10,172.0
2020-05-11,172.0
2020-05-12,211.0
2020-05-13,234.0
2020-05-14,301.0
2020-05-15,320.0
2020-05-16,361.0
2020-05-17,365.0
2020-05-18,411.0
2020-05-19,491.0
2020-05-20,592.0
2020-05-21,660.0
2020-05-22,730.0
2020-05-23,736.0
2020-05-24,789.0
2020-05-25,965.0
2020-05-26,1039.0
2020-05-27,1103.0
2020-05-28,1120.0
2020-05-29,1206.0
2020-05-30,1240.0
2020-05-31,1279.0
2020-06-01,1279.0
2020-06-02,1331.0
2020-06-03,1557.0
2020-06-04,1864.0
2020-06-05,2133.0
2020-06-06,2311.0
2020-06-07,2339.0
2020-06-08,2482.0
2020-06-09,2609.0
2020-06-10,2736.0
2020-06-11,2930.0
2020-06-12,3062.0
2020-06-13,3152.0
2020-06-14,3191.0
2020-06-15,3245.0
2020-06-16,3412.0
2020-06-17,3557.0
2020-06-18,3639.0
2020-06-19,3768.0
2020-06-20,4072.0
2020-06-21,4181.0
2020-06-22,4292.0
2020-06-23,4514.0
2020-06-24,4876.0
2020-06-25,5247.0
2020-06-26,5575.0
2020-06-27,6323.0
2020-06-28,6433.0
2020-06-29,6514.0
2020-06-30,6820.0
2020-07-01,7212.0
2020-07-02,7409.0
2020-07-03,7692.0
2020-07-04,8017.0
2020-07-05,8182.0
2020-07-06,8209.0
2020-07-07,8327.0
2020-07-08,8521.0
2020-07-09,8726.0
2020-07-10,8975.0
2020-07-11,9114.0
2020-07-12,9186.0
2020-07-13,9413.0
2020-07-14,9601.0
2020-07-15,9788.0
2020-07-16,9975.0
2020-07-17,10097.0
2020-07-18,10198.0
2020-07-19,10201.0
2020-07-20,10288.0
2020-07-21,10466.0
2020-07-22,10674.0
2020-07-23,10973.0
2020-07-24,11199.0
2020-07-25,11516.0
2020-07-26,11594.0
2020-07-27,11710.0
2020-07-28,11837.0
2020-07-29,12085.0
2020-07-30,12264.0
2020-07-31,12371.0
2020-08-01,12441.0
2020-08-02,12466.0
2020-08-03,12472.0
2020-08-04,12768.0
2020-08-05,13107.0
2020-08-06,13333.0
2020-08-07,13810.0
2020-08-08,14204.0
2020-08-09,14308.0
2020-08-10,14497.0
2020-08-11,14645.0
2020-08-12,14873.0
2020-08-13,15078.0
2020-08-14,15463.0
2020-08-15,15721.0
2020-08-16,15985.0
2020-08-17,16150.0
2020-08-18,16611.0
2020-08-19,16973.0
