Data,NECERSOA23018
2020-04-06,1.0
2020-04-07,2.0
2020-04-08,2.0
2020-04-09,2.0
2020-04-10,3.0
2020-04-11,4.0
2020-04-12,4.0
2020-04-13,4.0
2020-04-14,5.0
2020-04-15,5.0
2020-04-16,5.0
2020-04-17,5.0
2020-04-18,5.0
2020-04-19,5.0
2020-04-20,5.0
2020-04-21,6.0
2020-04-22,6.0
2020-04-23,6.0
2020-04-24,6.0
2020-04-25,6.0
2020-04-26,6.0
2020-04-27,6.0
2020-04-28,7.0
2020-04-29,7.0
2020-04-30,8.0
2020-05-01,8.0
2020-05-02,8.0
2020-05-03,8.0
2020-05-04,9.0
2020-05-05,9.0
2020-05-06,9.0
2020-05-07,9.0
2020-05-08,10.0
2020-05-09,10.0
2020-05-10,11.0
2020-05-11,12.0
2020-05-12,12.0
2020-05-13,12.0
2020-05-14,12.0
2020-05-15,13.0
2020-05-16,12.0
2020-05-17,13.0
2020-05-18,13.0
2020-05-19,13.0
2020-05-20,13.0
2020-05-21,15.0
2020-05-22,15.0
2020-05-23,16.0
2020-05-24,16.0
2020-05-25,16.0
2020-05-26,15.0
2020-05-27,16.0
2020-05-28,16.0
2020-05-29,15.0
2020-05-30,15.0
2020-05-31,15.0
2020-06-01,20.0
2020-06-02,22.0
2020-06-03,29.0
2020-06-04,32.0
2020-06-05,32.0
2020-06-06,32.0
2020-06-07,34.0
2020-06-08,34.0
2020-06-09,34.0
