Data,NEPERSCA26002
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,0.0
2020-04-07,0.0
2020-04-08,1.0
2020-04-09,3.0
2020-04-10,3.0
2020-04-11,4.0
2020-04-12,4.0
2020-04-13,5.0
2020-04-14,5.0
2020-04-15,5.0
2020-04-16,8.0
2020-04-17,8.0
2020-04-18,8.0
2020-04-19,15.0
2020-04-20,15.0
2020-04-21,16.0
2020-04-22,20.0
2020-04-23,23.0
2020-04-24,23.0
2020-04-25,26.0
2020-04-26,32.0
2020-04-27,35.0
2020-04-28,39.0
2020-04-29,40.0
2020-04-30,43.0
2020-05-01,41.0
2020-05-02,65.0
2020-05-03,70.0
2020-05-04,71.0
2020-05-05,72.0
2020-05-06,72.0
2020-05-07,82.0
2020-05-08,91.0
2020-05-09,91.0
2020-05-10,101.0
2020-05-11,103.0
2020-05-12,103.0
2020-05-13,103.0
2020-05-14,102.0
2020-05-15,104.0
2020-05-16,132.0
2020-05-17,137.0
2020-05-18,139.0
2020-05-19,151.0
2020-05-20,161.0
2020-05-21,185.0
2020-05-22,207.0
2020-05-23,227.0
2020-05-24,242.0
2020-05-25,252.0
2020-05-26,259.0
2020-05-27,280.0
2020-05-28,290.0
2020-05-29,307.0
2020-05-30,326.0
2020-05-31,332.0
2020-06-01,337.0
2020-06-02,342.0
2020-06-03,356.0
2020-06-04,376.0
2020-06-05,396.0
2020-06-06,404.0
2020-06-07,422.0
2020-06-08,438.0
2020-06-09,445.0
2020-06-10,461.0
2020-06-11,477.0
2020-06-12,501.0
2020-06-13,514.0
2020-06-14,521.0
2020-06-15,525.0
2020-06-16,541.0
