Data,SEESRSCA32004
2020-03-27,0.0
2020-03-28,2.0
2020-03-29,3.0
2020-03-30,3.0
2020-03-31,3.0
2020-04-01,3.0
2020-04-02,4.0
2020-04-03,4.0
2020-04-04,4.0
2020-04-05,4.0
2020-04-06,4.0
2020-04-07,4.0
2020-04-08,4.0
2020-04-09,6.0
2020-04-10,6.0
2020-04-11,6.0
2020-04-12,9.0
2020-04-13,12.0
2020-04-14,11.0
2020-04-15,15.0
2020-04-16,23.0
2020-04-17,34.0
2020-04-18,35.0
2020-04-19,43.0
2020-04-20,47.0
2020-04-21,53.0
2020-04-22,56.0
2020-04-23,60.0
2020-04-24,69.0
2020-04-25,70.0
2020-04-26,73.0
2020-04-27,75.0
2020-04-28,93.0
2020-04-29,108.0
2020-04-30,115.0
2020-05-01,132.0
2020-05-02,145.0
2020-05-03,151.0
2020-05-04,156.0
2020-05-05,170.0
2020-05-06,191.0
2020-05-07,217.0
2020-05-08,243.0
2020-05-09,265.0
2020-05-10,285.0
2020-05-11,306.0
2020-05-12,344.0
2020-05-13,380.0
2020-05-14,412.0
2020-05-15,464.0
2020-05-16,496.0
2020-05-17,519.0
2020-05-18,556.0
2020-05-19,620.0
2020-05-20,654.0
2020-05-21,753.0
2020-05-22,826.0
2020-05-23,854.0
2020-05-24,862.0
2020-05-25,897.0
2020-05-26,982.0
2020-05-27,1044.0
2020-05-28,1167.0
2020-05-29,1267.0
2020-05-30,1355.0
2020-05-31,1377.0
2020-06-01,1407.0
2020-06-02,1565.0
2020-06-03,1692.0
2020-06-04,1812.0
2020-06-05,2010.0
2020-06-06,2089.0
2020-06-07,2211.0
2020-06-08,2350.0
2020-06-09,2479.0
2020-06-10,2659.0
2020-06-11,2766.0
2020-06-12,2849.0
2020-06-13,2995.0
2020-06-14,3040.0
2020-06-15,3154.0
2020-06-16,3391.0
2020-06-17,3589.0
2020-06-18,3768.0
2020-06-19,4070.0
2020-06-20,4227.0
2020-06-21,4321.0
2020-06-22,4482.0
2020-06-23,4673.0
2020-06-24,4986.0
2020-06-25,5214.0
2020-06-26,5335.0
2020-06-27,5335.0
2020-06-28,5638.0
2020-06-29,5816.0
2020-06-30,6039.0
2020-07-01,6334.0
2020-07-02,6594.0
2020-07-03,6822.0
2020-07-04,6953.0
2020-07-05,7078.0
2020-07-06,7342.0
2020-07-07,7612.0
2020-07-08,7799.0
2020-07-09,8024.0
