Data,SUPRRSCA41016
2020-03-27,0.0
2020-03-28,1.0
2020-03-29,1.0
2020-03-30,1.0
2020-03-31,1.0
2020-04-01,3.0
2020-04-02,3.0
2020-04-03,3.0
2020-04-04,3.0
2020-04-05,8.0
2020-04-06,8.0
2020-04-07,8.0
2020-04-08,9.0
2020-04-09,9.0
2020-04-10,10.0
2020-04-11,11.0
2020-04-12,11.0
2020-04-13,17.0
2020-04-14,18.0
2020-04-15,20.0
2020-04-16,23.0
2020-04-17,24.0
2020-04-18,27.0
2020-04-19,27.0
2020-04-20,28.0
2020-04-21,28.0
2020-04-22,28.0
2020-04-23,29.0
2020-04-24,30.0
2020-04-25,31.0
2020-04-26,31.0
2020-04-27,32.0
2020-04-28,32.0
2020-04-29,32.0
2020-04-30,33.0
2020-05-01,33.0
2020-05-02,34.0
2020-05-03,35.0
2020-05-04,36.0
2020-05-05,37.0
2020-05-06,38.0
2020-05-07,42.0
2020-05-08,42.0
2020-05-09,48.0
2020-05-10,48.0
2020-05-11,48.0
2020-05-12,50.0
2020-05-13,50.0
2020-05-14,51.0
2020-05-15,51.0
2020-05-16,53.0
2020-05-17,53.0
2020-05-18,53.0
2020-05-19,53.0
2020-05-20,54.0
2020-05-21,55.0
2020-05-22,56.0
2020-05-23,57.0
2020-05-24,57.0
2020-05-25,57.0
2020-05-26,61.0
2020-05-27,63.0
2020-05-28,63.0
2020-05-29,63.0
2020-05-30,66.0
2020-05-31,69.0
2020-06-01,70.0
2020-06-02,73.0
2020-06-03,73.0
2020-06-04,73.0
2020-06-05,76.0
2020-06-06,80.0
2020-06-07,80.0
2020-06-08,82.0
2020-06-09,87.0
2020-06-10,87.0
2020-06-11,96.0
2020-06-12,98.0
2020-06-13,108.0
2020-06-14,109.0
2020-06-15,109.0
2020-06-16,118.0
2020-06-17,124.0
2020-06-18,128.0
2020-06-19,138.0
2020-06-20,142.0
2020-06-21,159.0
2020-06-22,173.0
2020-06-23,178.0
2020-06-24,195.0
2020-06-25,246.0
2020-06-26,250.0
2020-06-27,263.0
2020-06-28,270.0
2020-06-29,270.0
2020-06-30,291.0
2020-07-01,310.0
2020-07-02,345.0
2020-07-03,378.0
2020-07-04,450.0
2020-07-05,464.0
2020-07-06,498.0
2020-07-07,565.0
2020-07-08,573.0
2020-07-09,598.0
