Data,NEPIRSOA22002
2020-04-21,0.0
2020-04-22,0.0
2020-04-23,0.0
2020-04-24,0.0
2020-04-25,0.0
2020-04-26,0.0
2020-04-27,0.0
2020-04-28,0.0
2020-04-29,0.0
2020-04-30,0.0
2020-05-01,0.0
2020-05-02,0.0
2020-05-03,1.0
2020-05-04,1.0
2020-05-05,1.0
2020-05-06,2.0
2020-05-07,3.0
2020-05-08,3.0
2020-05-09,3.0
2020-05-10,3.0
2020-05-11,3.0
2020-05-12,3.0
2020-05-13,3.0
2020-05-14,4.0
2020-05-15,4.0
2020-05-16,4.0
2020-05-17,4.0
2020-05-18,4.0
2020-05-19,4.0
2020-05-20,4.0
2020-05-21,4.0
2020-05-22,4.0
2020-05-23,4.0
2020-05-24,5.0
2020-05-25,5.0
2020-05-26,5.0
2020-05-27,5.0
2020-05-28,5.0
2020-05-29,5.0
2020-05-30,5.0
2020-05-31,5.0
2020-06-01,5.0
2020-06-02,5.0
2020-06-03,5.0
2020-06-04,5.0
2020-06-05,5.0
2020-06-06,5.0
2020-06-07,5.0
2020-06-08,5.0
2020-06-09,5.0
2020-06-10,5.0
