Data,NEPBRSCA25006
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,1.0
2020-04-01,1.0
2020-04-02,1.0
2020-04-03,1.0
2020-04-04,2.0
2020-04-05,2.0
2020-04-06,2.0
2020-04-07,2.0
2020-04-08,2.0
2020-04-09,2.0
2020-04-10,5.0
2020-04-11,5.0
2020-04-12,5.0
2020-04-13,5.0
2020-04-14,7.0
2020-04-15,7.0
2020-04-16,7.0
2020-04-17,8.0
2020-04-18,8.0
2020-04-19,10.0
2020-04-20,11.0
2020-04-21,11.0
2020-04-22,11.0
2020-04-23,11.0
2020-04-24,11.0
2020-04-25,11.0
2020-04-26,14.0
2020-04-27,14.0
2020-04-28,15.0
2020-04-29,19.0
2020-04-30,22.0
2020-05-01,24.0
2020-05-02,27.0
2020-05-03,29.0
2020-05-04,30.0
2020-05-05,33.0
2020-05-06,39.0
2020-05-07,49.0
2020-05-08,85.0
2020-05-09,93.0
2020-05-10,113.0
2020-05-11,134.0
2020-05-12,156.0
2020-05-13,173.0
2020-05-14,211.0
2020-05-15,264.0
2020-05-16,311.0
2020-05-17,331.0
2020-05-18,412.0
2020-05-19,448.0
2020-05-20,488.0
2020-05-21,509.0
2020-05-22,540.0
2020-05-23,576.0
2020-05-24,555.0
2020-05-25,552.0
2020-05-26,594.0
2020-05-27,709.0
2020-05-28,710.0
2020-05-29,778.0
2020-05-30,815.0
2020-05-31,836.0
2020-06-01,863.0
2020-06-02,913.0
2020-06-03,950.0
2020-06-04,1041.0
2020-06-05,1085.0
2020-06-06,1137.0
2020-06-07,1157.0
2020-06-08,1186.0
2020-06-09,1258.0
2020-06-10,1314.0
2020-06-11,1362.0
2020-06-12,1379.0
2020-06-13,1405.0
2020-06-14,1417.0
2020-06-15,1438.0
2020-06-16,1493.0
2020-06-17,1530.0
2020-06-18,1531.0
2020-06-19,1658.0
2020-06-20,1714.0
2020-06-21,1720.0
2020-06-22,1737.0
2020-06-23,1809.0
2020-06-24,1863.0
2020-06-25,1921.0
2020-06-26,2017.0
2020-06-27,2070.0
2020-06-28,2105.0
2020-06-29,2106.0
2020-06-30,2236.0
2020-07-01,2253.0
2020-07-02,2333.0
2020-07-03,2369.0
2020-07-04,2515.0
2020-07-05,2589.0
2020-07-06,2627.0
2020-07-07,2714.0
2020-07-08,2785.0
2020-07-09,2872.0
2020-07-10,2893.0
2020-07-11,2901.0
2020-07-12,2938.0
2020-07-13,2940.0
2020-07-14,2993.0
2020-07-15,3084.0
2020-07-16,3123.0
2020-07-17,3151.0
2020-07-18,3170.0
2020-07-19,3171.0
