Data,OAMiA_An
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,0.0
2020-03-16,0.0
2020-03-17,0.0
2020-03-18,0.0
2020-03-19,0.0
2020-03-20,0.0
2020-03-21,0.0
2020-03-22,0.0
2020-03-23,0.0
2020-03-24,0.0
2020-03-25,0.0
2020-03-26,0.0
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,1.0
2020-03-31,1.0
2020-04-01,1.0
2020-04-02,1.0
2020-04-03,1.0
2020-04-04,1.0
2020-04-05,2.0
2020-04-06,2.0
2020-04-07,4.0
2020-04-08,11.0
2020-04-09,12.0
2020-04-10,16.0
2020-04-11,21.0
2020-04-12,24.0
2020-04-13,27.0
2020-04-14,32.0
2020-04-15,34.0
2020-04-16,37.0
2020-04-17,40.0
2020-04-18,44.0
2020-04-19,48.0
2020-04-20,54.0
2020-04-21,60.0
2020-04-22,66.0
2020-04-23,76.0
2020-04-24,88.0
2020-04-25,100.0
2020-04-26,112.0
2020-04-27,125.0
2020-04-28,145.0
2020-04-29,166.0
2020-04-30,184.0
2020-05-01,204.0
2020-05-02,224.0
2020-05-03,237.0
2020-05-04,249.0
2020-05-05,271.0
2020-05-06,291.0
2020-05-07,305.0
2020-05-08,330.0
2020-05-09,355.0
2020-05-10,379.0
2020-05-11,399.0
2020-05-12,423.0
2020-05-13,444.0
2020-05-14,470.0
2020-05-15,496.0
2020-05-16,524.0
2020-05-17,549.0
2020-05-18,576.0
2020-05-19,604.0
2020-05-20,634.0
2020-05-21,663.0
2020-05-22,693.0
2020-05-23,722.0
2020-05-24,754.0
2020-05-25,784.0
2020-05-26,817.0
2020-05-27,853.0
2020-05-28,887.0
2020-05-29,911.0
2020-05-30,932.0
2020-05-31,955.0
2020-06-01,976.0
2020-06-02,997.0
2020-06-03,1028.0
2020-06-04,1062.0
2020-06-05,1095.0
2020-06-06,1132.0
2020-06-07,1170.0
2020-06-08,1247.0
2020-06-09,1285.0
2020-06-10,1322.0
2020-06-11,1360.0
2020-06-12,1399.0
