Data,CNAiL_An
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,3
2020-03-20,1
2020-03-21,2
2020-03-22,0
2020-03-23,0
2020-03-24,2
2020-03-25,2
2020-03-26,0
2020-03-27,0
2020-03-28,3
2020-03-29,3
2020-03-30,0
2020-03-31,1
2020-04-01,0
2020-04-02,0
2020-04-03,4
2020-04-04,1
2020-04-05,5
2020-04-06,3
2020-04-07,1
2020-04-08,5
2020-04-09,0
2020-04-10,8
2020-04-11,3
2020-04-12,0
2020-04-13,2
2020-04-14,22
2020-04-15,10
2020-04-16,7
2020-04-17,21
2020-04-18,22
2020-04-19,27
2020-04-20,12
2020-04-21,39
2020-04-22,33
2020-04-23,81
2020-04-24,89
2020-04-25,88
2020-04-26,53
2020-04-27,89
2020-04-28,134
2020-04-29,180
2020-04-30,87
2020-05-01,182
2020-05-02,146
2020-05-03,69
2020-05-04,97
2020-05-05,68
2020-05-06,97
2020-05-07,164
2020-05-08,166
2020-05-09,139
2020-05-10,86
2020-05-11,85
2020-05-12,237
2020-05-13,181
2020-05-14,211
2020-05-15,240
2020-05-16,381
2020-05-17,223
2020-05-18,215
2020-05-19,285
2020-05-20,121
2020-05-21,479
2020-05-22,386
2020-05-23,328
2020-05-24,584
2020-05-25,468
2020-05-26,376
2020-05-27,522
2020-05-28,475
2020-05-29,563
2020-05-30,605
2020-05-31,1065
2020-06-01,549
