Data,OAAiLAiaiiiaiai
2020-04-18,0
2020-04-19,0
2020-04-20,0
2020-04-21,0
2020-04-22,0
2020-04-23,0
2020-04-24,0
2020-04-25,0
2020-04-26,0
2020-04-27,0
2020-04-28,0
2020-04-29,0
2020-04-30,0
2020-05-01,0
2020-05-02,0
2020-05-03,1
2020-05-04,2
2020-05-05,2
2020-05-06,3
2020-05-07,5
2020-05-08,5
2020-05-09,5
2020-05-10,5
2020-05-11,5
2020-05-12,5
2020-05-13,5
2020-05-14,6
2020-05-15,6
2020-05-16,6
2020-05-17,6
2020-05-18,6
2020-05-19,6
2020-05-20,7
2020-05-21,7
2020-05-22,7
2020-05-23,7
2020-05-24,7
2020-05-25,8
2020-05-26,9
2020-05-27,10
2020-05-28,11
2020-05-29,11
2020-05-30,12
2020-05-31,12
2020-06-01,12
2020-06-02,16
2020-06-03,18
2020-06-04,18
2020-06-05,20
2020-06-06,22
2020-06-07,22
2020-06-08,22
2020-06-09,22
