Data,NEBARSCA29028
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,1.0
2020-04-02,1.0
2020-04-03,1.0
2020-04-04,2.0
2020-04-05,5.0
2020-04-06,7.0
2020-04-07,6.0
2020-04-08,14.0
2020-04-09,15.0
2020-04-10,16.0
2020-04-11,16.0
2020-04-12,21.0
2020-04-13,21.0
2020-04-14,21.0
2020-04-15,20.0
2020-04-16,20.0
2020-04-17,20.0
2020-04-18,22.0
2020-04-19,23.0
2020-04-20,23.0
2020-04-21,25.0
2020-04-22,26.0
2020-04-23,26.0
2020-04-24,26.0
2020-04-25,28.0
2020-04-26,29.0
2020-04-27,29.0
2020-04-28,32.0
2020-04-29,32.0
2020-04-30,32.0
2020-05-01,37.0
2020-05-02,37.0
2020-05-03,38.0
2020-05-04,40.0
2020-05-05,41.0
2020-05-06,41.0
2020-05-07,41.0
2020-05-08,49.0
2020-05-09,51.0
2020-05-10,52.0
2020-05-11,53.0
2020-05-12,59.0
2020-05-13,59.0
2020-05-14,60.0
2020-05-15,80.0
2020-05-16,81.0
2020-05-17,80.0
2020-05-18,85.0
2020-05-19,101.0
2020-05-20,109.0
2020-05-21,117.0
2020-05-22,116.0
2020-05-23,128.0
2020-05-24,131.0
2020-05-25,133.0
2020-05-26,131.0
2020-05-27,135.0
2020-05-28,135.0
2020-05-29,144.0
2020-05-30,148.0
2020-05-31,170.0
2020-06-01,173.0
2020-06-02,211.0
2020-06-03,230.0
2020-06-04,237.0
2020-06-05,327.0
2020-06-06,331.0
2020-06-07,376.0
2020-06-08,380.0
2020-06-09,413.0
2020-06-10,462.0
2020-06-11,490.0
2020-06-12,519.0
2020-06-13,550.0
2020-06-14,567.0
2020-06-15,603.0
2020-06-16,656.0
2020-06-17,677.0
2020-06-18,685.0
2020-06-19,740.0
2020-06-20,780.0
2020-06-21,840.0
2020-06-22,844.0
2020-06-23,900.0
2020-06-24,966.0
2020-06-25,972.0
2020-06-26,1001.0
2020-06-27,1093.0
2020-06-28,1151.0
2020-06-29,1158.0
2020-06-30,1258.0
2020-07-01,1355.0
2020-07-02,1441.0
2020-07-03,1519.0
2020-07-04,1570.0
2020-07-05,1592.0
2020-07-06,1598.0
2020-07-07,1690.0
2020-07-08,1788.0
2020-07-09,1895.0
2020-07-10,1975.0
2020-07-11,2102.0
2020-07-12,2129.0
2020-07-13,2149.0
2020-07-14,2302.0
2020-07-15,2426.0
2020-07-16,2530.0
2020-07-17,2614.0
2020-07-18,2659.0
2020-07-19,2694.0
2020-07-20,2719.0
2020-07-21,2853.0
2020-07-22,3114.0
2020-07-23,3377.0
