Data,OARiN_An
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,1
2020-03-30,1
2020-03-31,1
2020-04-01,2
2020-04-02,2
2020-04-03,4
2020-04-04,5
2020-04-05,7
2020-04-06,7
2020-04-07,8
2020-04-08,11
2020-04-09,11
2020-04-10,11
2020-04-11,13
2020-04-12,15
2020-04-13,17
2020-04-14,18
2020-04-15,19
2020-04-16,20
2020-04-17,23
2020-04-18,24
2020-04-19,25
2020-04-20,27
2020-04-21,28
2020-04-22,29
2020-04-23,34
2020-04-24,38
2020-04-25,40
2020-04-26,44
2020-04-27,45
2020-04-28,48
2020-04-29,53
2020-04-30,56
2020-05-01,56
2020-05-02,59
2020-05-03,61
2020-05-04,62
2020-05-05,68
2020-05-06,72
2020-05-07,76
2020-05-08,81
2020-05-09,87
2020-05-10,88
2020-05-11,92
2020-05-12,93
2020-05-13,105
2020-05-14,117
2020-05-15,122
2020-05-16,136
2020-05-17,139
2020-05-18,146
2020-05-19,160
2020-05-20,170
2020-05-21,178
2020-05-22,181
2020-05-23,184
2020-05-24,200
2020-05-25,209
2020-05-26,220
2020-05-27,242
