Data,SURSRSOA43021
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,0.0
2020-04-07,0.0
2020-04-08,0.0
2020-04-09,0.0
2020-04-10,0.0
2020-04-11,0.0
2020-04-12,0.0
2020-04-13,0.0
2020-04-14,0.0
2020-04-15,0.0
2020-04-16,0.0
2020-04-17,0.0
2020-04-18,0.0
2020-04-19,0.0
2020-04-20,0.0
2020-04-21,0.0
2020-04-22,0.0
2020-04-23,0.0
2020-04-24,0.0
2020-04-25,0.0
2020-04-26,0.0
2020-04-27,0.0
2020-04-28,0.0
2020-04-29,0.0
2020-04-30,0.0
2020-05-01,0.0
2020-05-02,1.0
2020-05-03,1.0
2020-05-04,1.0
2020-05-05,1.0
2020-05-06,1.0
2020-05-07,1.0
2020-05-08,1.0
2020-05-09,1.0
2020-05-10,1.0
2020-05-11,1.0
2020-05-12,1.0
2020-05-13,1.0
2020-05-14,1.0
2020-05-15,1.0
2020-05-16,1.0
2020-05-17,1.0
2020-05-18,1.0
2020-05-19,1.0
2020-05-20,1.0
2020-05-21,1.0
2020-05-22,1.0
2020-05-23,1.0
2020-05-24,1.0
2020-05-25,1.0
2020-05-26,1.0
2020-05-27,1.0
2020-05-28,1.0
2020-05-29,1.0
2020-05-30,1.0
2020-05-31,1.0
2020-06-01,1.0
2020-06-02,1.0
2020-06-03,1.0
2020-06-04,1.0
2020-06-05,1.0
2020-06-06,1.0
2020-06-07,1.0
2020-06-08,1.0
2020-06-09,2.0
2020-06-10,2.0
2020-06-11,2.0
2020-06-12,2.0
2020-06-13,2.0
2020-06-14,2.0
2020-06-15,2.0
2020-06-16,3.0
2020-06-17,3.0
2020-06-18,3.0
2020-06-19,3.0
2020-06-20,3.0
2020-06-21,4.0
2020-06-22,5.0
2020-06-23,6.0
2020-06-24,6.0
2020-06-25,6.0
2020-06-26,6.0
2020-06-27,6.0
2020-06-28,6.0
2020-06-29,8.0
2020-06-30,11.0
2020-07-01,11.0
2020-07-02,14.0
2020-07-03,14.0
2020-07-04,16.0
2020-07-05,16.0
2020-07-06,18.0
2020-07-07,20.0
2020-07-08,20.0
2020-07-09,24.0
2020-07-10,26.0
2020-07-11,30.0
2020-07-12,32.0
2020-07-13,33.0
2020-07-14,39.0
2020-07-15,45.0
2020-07-16,49.0
2020-07-17,50.0
2020-07-18,54.0
2020-07-19,55.0
2020-07-20,55.0
2020-07-21,60.0
2020-07-22,66.0
2020-07-23,67.0
2020-07-24,74.0
2020-07-25,78.0
2020-07-26,81.0
2020-07-27,82.0
2020-07-28,88.0
2020-07-29,91.0
2020-07-30,97.0
2020-07-31,99.0
2020-08-01,103.0
2020-08-02,106.0
2020-08-03,106.0
2020-08-04,108.0
2020-08-05,113.0
2020-08-06,117.0
2020-08-07,120.0
2020-08-08,126.0
2020-08-09,127.0
2020-08-10,130.0
