Data,COGORSOA52016
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,0.0
2020-04-07,0.0
2020-04-08,0.0
2020-04-09,0.0
2020-04-10,0.0
2020-04-11,0.0
2020-04-12,0.0
2020-04-13,0.0
2020-04-14,0.0
2020-04-15,0.0
2020-04-16,0.0
2020-04-17,0.0
2020-04-18,0.0
2020-04-19,0.0
2020-04-20,0.0
2020-04-21,0.0
2020-04-22,0.0
2020-04-23,0.0
2020-04-24,0.0
2020-04-25,0.0
2020-04-26,0.0
2020-04-27,0.0
2020-04-28,0.0
2020-04-29,0.0
2020-04-30,0.0
2020-05-01,0.0
2020-05-02,0.0
2020-05-03,0.0
2020-05-04,0.0
2020-05-05,0.0
2020-05-06,0.0
2020-05-07,0.0
2020-05-08,0.0
2020-05-09,0.0
2020-05-10,0.0
2020-05-11,0.0
2020-05-12,0.0
2020-05-13,0.0
2020-05-14,0.0
2020-05-15,0.0
2020-05-16,0.0
2020-05-17,0.0
2020-05-18,0.0
2020-05-19,0.0
2020-05-20,0.0
2020-05-21,0.0
2020-05-22,0.0
2020-05-23,0.0
2020-05-24,0.0
2020-05-25,0.0
2020-05-26,1.0
2020-05-27,1.0
2020-05-28,1.0
2020-05-29,1.0
2020-05-30,1.0
2020-05-31,1.0
2020-06-01,1.0
2020-06-02,1.0
2020-06-03,1.0
2020-06-04,1.0
2020-06-05,1.0
2020-06-06,1.0
2020-06-07,1.0
2020-06-08,1.0
2020-06-09,1.0
2020-06-10,2.0
2020-06-11,2.0
2020-06-12,2.0
2020-06-13,2.0
2020-06-14,2.0
2020-06-15,2.0
2020-06-16,2.0
2020-06-17,2.0
2020-06-18,3.0
2020-06-19,3.0
2020-06-20,3.0
2020-06-21,3.0
2020-06-22,3.0
2020-06-23,4.0
2020-06-24,5.0
2020-06-25,5.0
2020-06-26,8.0
2020-06-27,9.0
2020-06-28,9.0
2020-06-29,9.0
2020-06-30,10.0
2020-07-01,10.0
2020-07-02,12.0
2020-07-03,13.0
2020-07-04,13.0
2020-07-05,13.0
2020-07-06,13.0
2020-07-07,13.0
2020-07-08,14.0
2020-07-09,17.0
2020-07-10,19.0
2020-07-11,19.0
2020-07-12,20.0
2020-07-13,20.0
2020-07-14,21.0
2020-07-15,24.0
2020-07-16,29.0
2020-07-17,30.0
2020-07-18,30.0
2020-07-19,30.0
2020-07-20,30.0
2020-07-21,35.0
