Data,SUSCRSOA42015
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,1.0
2020-04-04,1.0
2020-04-05,1.0
2020-04-06,1.0
2020-04-07,1.0
2020-04-08,2.0
2020-04-09,3.0
2020-04-10,3.0
2020-04-11,3.0
2020-04-12,4.0
2020-04-13,5.0
2020-04-14,5.0
2020-04-15,5.0
2020-04-16,5.0
2020-04-17,5.0
2020-04-18,5.0
2020-04-19,5.0
2020-04-20,5.0
2020-04-21,5.0
2020-04-22,5.0
2020-04-23,6.0
2020-04-24,6.0
2020-04-25,6.0
2020-04-26,6.0
2020-04-27,6.0
2020-04-28,6.0
2020-04-29,6.0
2020-04-30,6.0
2020-05-01,6.0
2020-05-02,6.0
2020-05-03,6.0
2020-05-04,6.0
2020-05-05,6.0
2020-05-06,7.0
2020-05-07,7.0
2020-05-08,7.0
2020-05-09,7.0
2020-05-10,7.0
2020-05-11,7.0
2020-05-12,7.0
2020-05-13,7.0
2020-05-14,8.0
2020-05-15,8.0
2020-05-16,9.0
2020-05-17,9.0
2020-05-18,9.0
2020-05-19,10.0
2020-05-20,10.0
2020-05-21,10.0
2020-05-22,10.0
2020-05-23,10.0
2020-05-24,10.0
2020-05-25,11.0
2020-05-26,11.0
2020-05-27,12.0
2020-05-28,12.0
2020-05-29,13.0
2020-05-30,13.0
2020-05-31,13.0
2020-06-01,13.0
2020-06-02,14.0
2020-06-03,14.0
2020-06-04,14.0
2020-06-05,14.0
2020-06-06,14.0
2020-06-07,14.0
2020-06-08,14.0
2020-06-09,14.0
2020-06-10,14.0
2020-06-11,14.0
2020-06-12,14.0
2020-06-13,14.0
2020-06-14,14.0
2020-06-15,14.0
2020-06-16,16.0
2020-06-17,16.0
2020-06-18,16.0
2020-06-19,16.0
2020-06-20,16.0
2020-06-21,16.0
2020-06-22,17.0
2020-06-23,18.0
2020-06-24,18.0
2020-06-25,18.0
2020-06-26,19.0
2020-06-27,20.0
2020-06-28,20.0
2020-06-29,22.0
2020-06-30,23.0
2020-07-01,23.0
2020-07-02,24.0
2020-07-03,24.0
2020-07-04,24.0
2020-07-05,26.0
2020-07-06,26.0
2020-07-07,26.0
2020-07-08,26.0
2020-07-09,29.0
2020-07-10,31.0
2020-07-11,31.0
2020-07-12,31.0
2020-07-13,32.0
2020-07-14,32.0
2020-07-15,33.0
