Data,CARiO_An
2020-03-20,1.0
2020-03-21,1.0
2020-03-22,3.0
2020-03-23,3.0
2020-03-24,3.0
2020-03-25,5.0
2020-03-26,5.0
2020-03-27,6.0
2020-03-28,6.0
2020-03-29,6.0
2020-03-30,6.0
2020-03-31,8.0
2020-04-01,9.0
2020-04-02,10.0
2020-04-03,10.0
2020-04-04,11.0
2020-04-05,12.0
2020-04-06,14.0
2020-04-07,18.0
2020-04-08,18.0
2020-04-09,28.0
2020-04-10,32.0
2020-04-11,33.0
2020-04-12,35.0
2020-04-13,42.0
2020-04-14,64.0
2020-04-15,69.0
2020-04-16,76.0
2020-04-17,92.0
2020-04-18,110.0
2020-04-19,128.0
2020-04-20,160.0
2020-04-21,199.0
2020-04-22,223.0
2020-04-23,250.0
2020-04-24,290.0
2020-04-25,328.0
2020-04-26,364.0
2020-04-27,393.0
2020-04-28,413.0
2020-04-29,433.0
2020-04-30,502.0
2020-05-01,585.0
2020-05-02,653.0
2020-05-03,705.0
2020-05-04,756.0
2020-05-05,861.0
2020-05-06,943.0
2020-05-07,1098.0
2020-05-08,1222.0
2020-05-09,1263.0
2020-05-10,1302.0
2020-05-11,1396.0
2020-05-12,1460.0
2020-05-13,1612.0
2020-05-14,1686.0
2020-05-15,1789.0
2020-05-16,1919.0
2020-05-17,1963.0
2020-05-18,2043.0
2020-05-19,2257.0
2020-05-20,2499.0
2020-05-21,2659.0
2020-05-22,2774.0
2020-05-23,3109.0
2020-05-24,3201.0
2020-05-25,3268.0
2020-05-26,3493.0
2020-05-27,3862.0
2020-05-28,4252.0
2020-05-29,4502.0
2020-05-30,4743.0
2020-05-31,4942.0
2020-06-01,5172.0
2020-06-02,5477.0
2020-06-03,5713.0
2020-06-04,6459.0
2020-06-05,6862.0
2020-06-06,7700.0
2020-06-07,8110.0
2020-06-08,8626.0
2020-06-09,9220.0
2020-06-10,9850.0
