Data,CAFieiiir
2020-03-28,9
2020-03-29,9
2020-03-30,12
2020-03-31,17
2020-04-01,18
2020-04-02,21
2020-04-03,20
2020-04-04,21
2020-04-05,25
2020-04-06,26
2020-04-07,32
2020-04-08,33
2020-04-09,39
2020-04-10,41
2020-04-11,42
2020-04-12,43
2020-04-13,45
2020-04-14,48
2020-04-15,50
2020-04-16,51
2020-04-17,52
2020-04-18,54
2020-04-19,54
2020-04-20,58
2020-04-21,61
2020-04-22,61
2020-04-23,63
2020-04-24,66
2020-04-25,66
2020-04-26,67
2020-04-27,67
2020-04-28,67
2020-04-29,86
2020-04-30,90
2020-05-01,87
2020-05-02,88
2020-05-03,96
2020-05-04,97
2020-05-05,97
2020-05-06,102
2020-05-07,104
2020-05-08,107
2020-05-09,112
2020-05-10,117
2020-05-11,117
2020-05-12,129
2020-05-13,138
2020-05-14,138
2020-05-15,195
2020-05-16,195
2020-05-17,207
2020-05-18,213
2020-05-19,230
2020-05-20,252
2020-05-21,271
2020-05-22,311
2020-05-23,321
2020-05-24,354
2020-05-25,377
2020-05-26,408
2020-05-27,414
2020-05-28,427
2020-05-29,451
