Data,SEMGRSOA31052
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,0.0
2020-04-07,0.0
2020-04-08,0.0
2020-04-09,0.0
2020-04-10,0.0
2020-04-11,0.0
2020-04-12,0.0
2020-04-13,0.0
2020-04-14,0.0
2020-04-15,0.0
2020-04-16,0.0
2020-04-17,0.0
2020-04-18,0.0
2020-04-19,0.0
2020-04-20,1.0
2020-04-21,1.0
2020-04-22,1.0
2020-04-23,1.0
2020-04-24,1.0
2020-04-25,1.0
2020-04-26,1.0
2020-04-27,1.0
2020-04-28,1.0
2020-04-29,1.0
2020-04-30,1.0
2020-05-01,1.0
2020-05-02,1.0
2020-05-03,1.0
2020-05-04,1.0
2020-05-05,1.0
2020-05-06,1.0
2020-05-07,1.0
2020-05-08,1.0
2020-05-09,1.0
2020-05-10,1.0
2020-05-11,1.0
2020-05-12,1.0
2020-05-13,1.0
2020-05-14,1.0
2020-05-15,1.0
2020-05-16,1.0
2020-05-17,1.0
2020-05-18,1.0
2020-05-19,1.0
2020-05-20,1.0
2020-05-21,1.0
2020-05-22,1.0
2020-05-23,1.0
2020-05-24,1.0
2020-05-25,1.0
2020-05-26,1.0
2020-05-27,1.0
2020-05-28,1.0
2020-05-29,1.0
2020-05-30,1.0
2020-05-31,1.0
2020-06-01,1.0
2020-06-02,1.0
2020-06-03,1.0
2020-06-04,1.0
2020-06-05,1.0
2020-06-06,2.0
2020-06-07,2.0
2020-06-08,2.0
2020-06-09,2.0
2020-06-10,2.0
2020-06-11,2.0
2020-06-12,2.0
2020-06-13,2.0
2020-06-14,4.0
2020-06-15,4.0
2020-06-16,4.0
2020-06-17,5.0
2020-06-18,5.0
2020-06-19,6.0
2020-06-20,6.0
2020-06-21,6.0
2020-06-22,6.0
2020-06-23,8.0
2020-06-24,8.0
2020-06-25,8.0
2020-06-26,8.0
2020-06-27,9.0
2020-06-28,9.0
2020-06-29,9.0
2020-06-30,9.0
2020-07-01,9.0
2020-07-02,9.0
2020-07-03,9.0
2020-07-04,10.0
2020-07-05,10.0
2020-07-06,10.0
2020-07-07,11.0
2020-07-08,11.0
2020-07-09,12.0
2020-07-10,12.0
2020-07-11,14.0
2020-07-12,14.0
2020-07-13,15.0
2020-07-14,15.0
2020-07-15,15.0
2020-07-16,17.0
2020-07-17,17.0
2020-07-18,20.0
2020-07-19,21.0
2020-07-20,21.0
2020-07-21,22.0
2020-07-22,24.0
2020-07-23,24.0
2020-07-24,23.0
2020-07-25,23.0
2020-07-26,24.0
2020-07-27,24.0
2020-07-28,24.0
2020-07-29,25.0
2020-07-30,25.0
2020-07-31,25.0
2020-08-01,25.0
2020-08-02,25.0
2020-08-03,25.0
2020-08-04,25.0
2020-08-05,25.0
2020-08-06,29.0
2020-08-07,29.0
2020-08-08,29.0
2020-08-09,30.0
2020-08-10,28.0
