Data,NEMARSOA21005
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,0.0
2020-04-07,0.0
2020-04-08,0.0
2020-04-09,0.0
2020-04-10,0.0
2020-04-11,0.0
2020-04-12,0.0
2020-04-13,0.0
2020-04-14,0.0
2020-04-15,0.0
2020-04-16,0.0
2020-04-17,0.0
2020-04-18,0.0
2020-04-19,0.0
2020-04-20,0.0
2020-04-21,0.0
2020-04-22,0.0
2020-04-23,0.0
2020-04-24,0.0
2020-04-25,0.0
2020-04-26,0.0
2020-04-27,0.0
2020-04-28,0.0
2020-04-29,0.0
2020-04-30,0.0
2020-05-01,0.0
2020-05-02,0.0
2020-05-03,0.0
2020-05-04,0.0
2020-05-05,0.0
2020-05-06,0.0
2020-05-07,0.0
2020-05-08,0.0
2020-05-09,0.0
2020-05-10,0.0
2020-05-11,0.0
2020-05-12,0.0
2020-05-13,0.0
2020-05-14,0.0
2020-05-15,0.0
2020-05-16,0.0
2020-05-17,1.0
2020-05-18,3.0
2020-05-19,3.0
2020-05-20,3.0
2020-05-21,3.0
2020-05-22,3.0
2020-05-23,3.0
2020-05-24,5.0
2020-05-25,6.0
2020-05-26,6.0
2020-05-27,6.0
2020-05-28,6.0
2020-05-29,6.0
2020-05-30,6.0
2020-05-31,6.0
2020-06-01,6.0
2020-06-02,9.0
2020-06-03,13.0
2020-06-04,13.0
2020-06-05,14.0
2020-06-06,16.0
2020-06-07,19.0
2020-06-08,22.0
2020-06-09,23.0
2020-06-10,26.0
2020-06-11,29.0
2020-06-12,30.0
2020-06-13,31.0
2020-06-14,31.0
2020-06-15,31.0
2020-06-16,33.0
2020-06-17,34.0
2020-06-18,34.0
2020-06-19,34.0
2020-06-20,34.0
2020-06-21,38.0
2020-06-22,40.0
2020-06-23,40.0
2020-06-24,40.0
2020-06-25,41.0
2020-06-26,41.0
2020-06-27,41.0
2020-06-28,47.0
2020-06-29,48.0
2020-06-30,48.0
2020-07-01,49.0
2020-07-02,49.0
2020-07-03,49.0
2020-07-04,49.0
2020-07-05,49.0
2020-07-06,49.0
2020-07-07,49.0
2020-07-08,54.0
2020-07-09,62.0
2020-07-10,64.0
2020-07-11,64.0
2020-07-12,65.0
2020-07-13,71.0
2020-07-14,73.0
2020-07-15,81.0
2020-07-16,83.0
2020-07-17,86.0
2020-07-18,90.0
2020-07-19,91.0
2020-07-20,92.0
2020-07-21,96.0
2020-07-22,98.0
2020-07-23,100.0
2020-07-24,100.0
2020-07-25,100.0
2020-07-26,100.0
2020-07-27,101.0
2020-07-28,101.0
2020-07-29,105.0
2020-07-30,109.0
2020-07-31,111.0
2020-08-01,111.0
2020-08-02,111.0
2020-08-03,111.0
2020-08-04,111.0
2020-08-05,111.0
2020-08-06,111.0
2020-08-07,113.0
2020-08-08,116.0
2020-08-09,116.0
2020-08-10,117.0
2020-08-11,117.0
2020-08-12,117.0
2020-08-13,118.0
2020-08-14,121.0
2020-08-15,121.0
2020-08-16,121.0
2020-08-17,121.0
2020-08-18,121.0
2020-08-19,121.0
