Data,RNBiR_An
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,0
2020-04-01,0
2020-04-02,0
2020-04-03,0
2020-04-04,0
2020-04-05,0
2020-04-06,0
2020-04-07,0
2020-04-08,0
2020-04-09,0
2020-04-10,0
2020-04-11,0
2020-04-12,0
2020-04-13,0
2020-04-14,0
2020-04-15,0
2020-04-16,0
2020-04-17,0
2020-04-18,0
2020-04-19,22130.0
2020-04-20,22991.0
2020-04-21,24325.0
2020-04-22,25318.0
2020-04-23,26573.0
2020-04-24,27655.0
2020-04-25,29160.0
2020-04-26,30152.0
2020-04-27,31142.0
2020-04-28,32544.0
2020-04-29,34132.0
2020-04-30,35935.0
2020-05-01,38039.0
2020-05-02,40937.0
2020-05-03,42991.0
2020-05-04,45186.0
2020-05-05,48221.0
2020-05-06,51370.0
2020-05-07,55350.0
2020-05-08,59297.0
2020-05-09,61685.0
2020-05-10,64957.0
2020-05-11,67384.0
2020-05-12,72597.0
2020-05-13,78424.0
2020-05-14,79479.0
2020-05-15,84970.0
2020-05-16,89672.0
2020-05-17,94122.0
2020-05-18,100459.0
2020-05-19,106794.0
2020-05-20,116683.0
2020-05-21,125960.0
2020-05-22,135430.0
2020-05-23,142587.0
2020-05-24,149911.0
2020-05-25,153833.0
2020-05-26,158593.0
2020-05-27,166647.0
2020-05-28,177604.0
2020-05-29,189476.0
2020-05-30,200892.0
2020-05-31,206555.0
2020-06-01,211080.0
2020-06-02,223638.0
2020-06-03,238617.0
2020-06-04,254963.0
2020-06-05,266940.0
2020-06-06,277149.0
2020-06-07,283952.0
2020-06-08,290040.0
2020-06-09,311064.0
2020-06-10,325395.0
2020-06-11,345595.0
2020-06-12,365063.0
2020-06-13,379245.0
2020-06-14,388492.0
2020-06-15,412252.0
2020-06-16,441729.0
2020-06-17,463474.0
2020-06-18,482102.0
2020-06-19,507200.0
2020-06-20,520734.0
2020-06-21,549386.0
2020-06-22,571649.0
2020-06-23,613345.0
2020-06-24,649908.0
2020-06-25,673729.0
2020-06-26,697526.0
2020-06-27,715905.0
2020-06-28,733848.0
2020-06-29,757462.0
2020-06-30,790040.0
2020-07-01,826866.0
2020-07-02,852816.0
2020-07-03,868372.0
2020-07-04,876359.0
2020-07-05,906286.0
2020-07-06,927292.0
2020-07-07,976977.0
2020-07-08,1020901.0
2020-07-09,1054043.0
2020-07-10,1078763.0
2020-07-11,1100873.0
2020-07-12,1123204.0
2020-07-13,1154837.0
2020-07-14,1209208.0
2020-07-15,1255564.0
2020-07-16,1296328.0
2020-07-17,1321036.0
2020-07-18,1342362.0
2020-07-19,1371229.0
2020-07-20,612605.0
2020-07-21,1465970.0
2020-07-22,1532138.0
2020-07-23,1570237.0
2020-07-24,1592281.0
2020-07-25,1617480.0
2020-07-26,1634274.0
2020-07-27,1667667.0
2020-07-28,1721560.0
2020-07-29,1786753.0
2020-07-30,1824095.0
2020-07-31,1844051.0
2020-08-01,1865729.0
2020-08-02,1883677.0
2020-08-03,1912319.0
2020-08-04,1970767.0
2020-08-05,2020637.0
2020-08-06,2080916.0
2020-08-07,2068394.0
2020-08-08,2094293.0
2020-08-09,2118460.0
2020-08-10,2163812.0
2020-08-11,2243124.0
2020-08-12,2309477.0
2020-08-13,2356640.0
2020-08-14,2384302.0
2020-08-15,2404272.0
2020-08-16,2432456.0
2020-08-17,2478494.0
2020-08-18,2554179.0
2020-08-19,2615254.0
